adhesivity,particle_size,n
1.0,0.03,0.0
0.9,0.04,0.0
0.7,0.05,0.0
0.55,0.06,0.0
0.5,0.07,0.0
0.4,0.08,0.0
0.35,0.09,0.0
0.3,0.1,0.0
1.0,0.03,0.01
0.9,0.04,0.01
0.7,0.05,0.01
0.55,0.06,0.01
0.5,0.07,0.01
0.4,0.08,0.01
0.35,0.09,0.01
0.3,0.1,0.01
1.0,0.03,0.02
0.9,0.04,0.02
0.7,0.05,0.02
0.55,0.06,0.02
0.5,0.07,0.02
0.4,0.08,0.02
0.35,0.09,0.02
0.3,0.1,0.02
1.0,0.03,0.03
0.9,0.04,0.03
0.7,0.05,0.03
0.55,0.06,0.03
0.5,0.07,0.03
0.4,0.08,0.03
0.35,0.09,0.03
0.3,0.1,0.03
1.0,0.03,0.04
0.9,0.04,0.04
0.7,0.05,0.04
0.55,0.06,0.04
0.5,0.07,0.04
0.4,0.08,0.04
0.35,0.09,0.04
0.3,0.1,0.04
1.0,0.03,0.05
0.9,0.04,0.05
0.7,0.05,0.05
0.55,0.06,0.05
0.5,0.07,0.05
0.4,0.08,0.05
0.35,0.09,0.05
0.3,0.1,0.05
1.0,0.03,0.06
0.9,0.04,0.06
0.7,0.05,0.06
0.55,0.06,0.06
0.5,0.07,0.06
0.4,0.08,0.06
0.35,0.09,0.06
0.3,0.1,0.06
1.0,0.03,0.07
0.9,0.04,0.07
0.7,0.05,0.07
0.55,0.06,0.07
0.5,0.07,0.07
0.4,0.08,0.07
0.35,0.09,0.07
0.3,0.1,0.07
1.0,0.03,0.08
0.9,0.04,0.08
0.7,0.05,0.08
0.55,0.06,0.08
0.5,0.07,0.08
0.4,0.08,0.08
0.35,0.09,0.08
0.3,0.1,0.08
1.0,0.03,0.09
0.9,0.04,0.09
0.7,0.05,0.09
0.55,0.06,0.09
0.5,0.07,0.09
0.4,0.08,0.09
0.35,0.09,0.09
0.3,0.1,0.09
1.0,0.03,0.1
0.9,0.04,0.1
0.7,0.05,0.1
0.55,0.06,0.1
0.5,0.07,0.1
0.4,0.08,0.1
0.35,0.09,0.1
0.3,0.1,0.1
1.0,0.03,0.11
0.9,0.04,0.11
0.7,0.05,0.11
0.55,0.06,0.11
0.5,0.07,0.11
0.4,0.08,0.11
0.35,0.09,0.11
0.3,0.1,0.11
1.0,0.03,0.12
0.9,0.04,0.12
0.7,0.05,0.12
0.55,0.06,0.12
0.5,0.07,0.12
0.4,0.08,0.12
0.35,0.09,0.12
0.3,0.1,0.12
1.0,0.03,0.13
0.9,0.04,0.13
0.7,0.05,0.13
0.55,0.06,0.13
0.5,0.07,0.13
0.4,0.08,0.13
0.35,0.09,0.13
0.3,0.1,0.13
1.0,0.03,0.14
0.9,0.04,0.14
0.7,0.05,0.14
0.55,0.06,0.14
0.5,0.07,0.14
0.4,0.08,0.14
0.35,0.09,0.14
0.3,0.1,0.14
1.0,0.03,0.15
0.9,0.04,0.15
0.7,0.05,0.15
0.55,0.06,0.15
0.5,0.07,0.15
0.4,0.08,0.15
0.35,0.09,0.15
0.3,0.1,0.15
1.0,0.03,0.16
0.9,0.04,0.16
0.7,0.05,0.16
0.55,0.06,0.16
0.5,0.07,0.16
0.4,0.08,0.16
0.35,0.09,0.16
0.3,0.1,0.16
1.0,0.03,0.17
0.9,0.04,0.17
0.7,0.05,0.17
0.55,0.06,0.17
0.5,0.07,0.17
0.4,0.08,0.17
0.35,0.09,0.17
0.3,0.1,0.17
1.0,0.03,0.18
0.9,0.04,0.18
0.7,0.05,0.18
0.55,0.06,0.18
0.5,0.07,0.18
0.4,0.08,0.18
0.35,0.09,0.18
0.3,0.1,0.18
1.0,0.03,0.19
0.9,0.04,0.19
0.7,0.05,0.19
0.55,0.06,0.19
0.5,0.07,0.19
0.4,0.08,0.19
0.35,0.09,0.19
0.3,0.1,0.19
1.0,0.03,0.2
0.9,0.04,0.2
0.7,0.05,0.2
0.55,0.06,0.2
0.5,0.07,0.2
0.4,0.08,0.2
0.35,0.09,0.2
0.3,0.1,0.2
1.0,0.03,0.21
0.9,0.04,0.21
0.7,0.05,0.21
0.55,0.06,0.21
0.5,0.07,0.21
0.4,0.08,0.21
0.35,0.09,0.21
0.3,0.1,0.21
1.0,0.03,0.22
0.9,0.04,0.22
0.7,0.05,0.22
0.55,0.06,0.22
0.5,0.07,0.22
0.4,0.08,0.22
0.35,0.09,0.22
0.3,0.1,0.22
1.0,0.03,0.23
0.9,0.04,0.23
0.7,0.05,0.23
0.55,0.06,0.23
0.5,0.07,0.23
0.4,0.08,0.23
0.35,0.09,0.23
0.3,0.1,0.23
1.0,0.03,0.24
0.9,0.04,0.24
0.7,0.05,0.24
0.55,0.06,0.24
0.5,0.07,0.24
0.4,0.08,0.24
0.35,0.09,0.24
0.3,0.1,0.24
1.0,0.03,0.25
0.9,0.04,0.25
0.7,0.05,0.25
0.55,0.06,0.25
0.5,0.07,0.25
0.4,0.08,0.25
0.35,0.09,0.25
0.3,0.1,0.25
1.0,0.03,0.26
0.9,0.04,0.26
0.7,0.05,0.26
0.55,0.06,0.26
0.5,0.07,0.26
0.4,0.08,0.26
0.35,0.09,0.26
0.3,0.1,0.26
1.0,0.03,0.27
0.9,0.04,0.27
0.7,0.05,0.27
0.55,0.06,0.27
0.5,0.07,0.27
0.4,0.08,0.27
0.35,0.09,0.27
0.3,0.1,0.27
1.0,0.03,0.28
0.9,0.04,0.28
0.7,0.05,0.28
0.55,0.06,0.28
0.5,0.07,0.28
0.4,0.08,0.28
0.35,0.09,0.28
0.3,0.1,0.28
1.0,0.03,0.29
0.9,0.04,0.29
0.7,0.05,0.29
0.55,0.06,0.29
0.5,0.07,0.29
0.4,0.08,0.29
0.35,0.09,0.29
0.3,0.1,0.29
1.0,0.03,0.3
0.9,0.04,0.3
0.7,0.05,0.3
0.55,0.06,0.3
0.5,0.07,0.3
0.4,0.08,0.3
0.35,0.09,0.3
0.3,0.1,0.3
1.0,0.03,0.31
0.9,0.04,0.31
0.7,0.05,0.31
0.55,0.06,0.31
0.5,0.07,0.31
0.4,0.08,0.31
0.35,0.09,0.31
0.3,0.1,0.31
1.0,0.03,0.32
0.9,0.04,0.32
0.7,0.05,0.32
0.55,0.06,0.32
0.5,0.07,0.32
0.4,0.08,0.32
0.35,0.09,0.32
0.3,0.1,0.32
1.0,0.03,0.33
0.9,0.04,0.33
0.7,0.05,0.33
0.55,0.06,0.33
0.5,0.07,0.33
0.4,0.08,0.33
0.35,0.09,0.33
0.3,0.1,0.33
1.0,0.03,0.34
0.9,0.04,0.34
0.7,0.05,0.34
0.55,0.06,0.34
0.5,0.07,0.34
0.4,0.08,0.34
0.35,0.09,0.34
0.3,0.1,0.34
1.0,0.03,0.35000000000000003
0.9,0.04,0.35000000000000003
0.7,0.05,0.35000000000000003
0.55,0.06,0.35000000000000003
0.5,0.07,0.35000000000000003
0.4,0.08,0.35000000000000003
0.35,0.09,0.35000000000000003
0.3,0.1,0.35000000000000003
1.0,0.03,0.36
0.9,0.04,0.36
0.7,0.05,0.36
0.55,0.06,0.36
0.5,0.07,0.36
0.4,0.08,0.36
0.35,0.09,0.36
0.3,0.1,0.36
1.0,0.03,0.37
0.9,0.04,0.37
0.7,0.05,0.37
0.55,0.06,0.37
0.5,0.07,0.37
0.4,0.08,0.37
0.35,0.09,0.37
0.3,0.1,0.37
1.0,0.03,0.38
0.9,0.04,0.38
0.7,0.05,0.38
0.55,0.06,0.38
0.5,0.07,0.38
0.4,0.08,0.38
0.35,0.09,0.38
0.3,0.1,0.38
1.0,0.03,0.39
0.9,0.04,0.39
0.7,0.05,0.39
0.55,0.06,0.39
0.5,0.07,0.39
0.4,0.08,0.39
0.35,0.09,0.39
0.3,0.1,0.39
1.0,0.03,0.4
0.9,0.04,0.4
0.7,0.05,0.4
0.55,0.06,0.4
0.5,0.07,0.4
0.4,0.08,0.4
0.35,0.09,0.4
0.3,0.1,0.4
1.0,0.03,0.41000000000000003
0.9,0.04,0.41000000000000003
0.7,0.05,0.41000000000000003
0.55,0.06,0.41000000000000003
0.5,0.07,0.41000000000000003
0.4,0.08,0.41000000000000003
0.35,0.09,0.41000000000000003
0.3,0.1,0.41000000000000003
1.0,0.03,0.42
0.9,0.04,0.42
0.7,0.05,0.42
0.55,0.06,0.42
0.5,0.07,0.42
0.4,0.08,0.42
0.35,0.09,0.42
0.3,0.1,0.42
1.0,0.03,0.43
0.9,0.04,0.43
0.7,0.05,0.43
0.55,0.06,0.43
0.5,0.07,0.43
0.4,0.08,0.43
0.35,0.09,0.43
0.3,0.1,0.43
1.0,0.03,0.44
0.9,0.04,0.44
0.7,0.05,0.44
0.55,0.06,0.44
0.5,0.07,0.44
0.4,0.08,0.44
0.35,0.09,0.44
0.3,0.1,0.44
1.0,0.03,0.45
0.9,0.04,0.45
0.7,0.05,0.45
0.55,0.06,0.45
0.5,0.07,0.45
0.4,0.08,0.45
0.35,0.09,0.45
0.3,0.1,0.45
1.0,0.03,0.46
0.9,0.04,0.46
0.7,0.05,0.46
0.55,0.06,0.46
0.5,0.07,0.46
0.4,0.08,0.46
0.35,0.09,0.46
0.3,0.1,0.46
1.0,0.03,0.47000000000000003
0.9,0.04,0.47000000000000003
0.7,0.05,0.47000000000000003
0.55,0.06,0.47000000000000003
0.5,0.07,0.47000000000000003
0.4,0.08,0.47000000000000003
0.35,0.09,0.47000000000000003
0.3,0.1,0.47000000000000003
1.0,0.03,0.48
0.9,0.04,0.48
0.7,0.05,0.48
0.55,0.06,0.48
0.5,0.07,0.48
0.4,0.08,0.48
0.35,0.09,0.48
0.3,0.1,0.48
1.0,0.03,0.49
0.9,0.04,0.49
0.7,0.05,0.49
0.55,0.06,0.49
0.5,0.07,0.49
0.4,0.08,0.49
0.35,0.09,0.49
0.3,0.1,0.49
1.0,0.03,0.5
0.9,0.04,0.5
0.7,0.05,0.5
0.55,0.06,0.5
0.5,0.07,0.5
0.4,0.08,0.5
0.35,0.09,0.5
0.3,0.1,0.5
1.0,0.03,0.51
0.9,0.04,0.51
0.7,0.05,0.51
0.55,0.06,0.51
0.5,0.07,0.51
0.4,0.08,0.51
0.35,0.09,0.51
0.3,0.1,0.51
1.0,0.03,0.52
0.9,0.04,0.52
0.7,0.05,0.52
0.55,0.06,0.52
0.5,0.07,0.52
0.4,0.08,0.52
0.35,0.09,0.52
