adhesivity,particle_size,n,product
0.3,0.03,0.01,0.4841780080294192
0.35,0.03,0.01,0.5385085234973258
0.4,0.03,0.01,0.5875570268926139
0.45,0.03,0.01,0.6318443617098664
0.5,0.03,0.01,0.6718370428365498
0.55,0.03,0.01,0.7079532948441425
0.6,0.03,0.01,0.7405685423762014
0.65,0.03,0.01,0.7700203805154407
0.7,0.03,0.01,0.7966122369742078
0.75,0.03,0.01,0.8206175860714492
0.8,0.03,0.01,0.8422428777762414
0.85,0.03,0.01,0.8617264754092858
0.9,0.03,0.01,0.8793014091501297
0.95,0.03,0.01,0.8951536016451327
1.0,0.03,0.01,0.9094526599295616
0.3,0.04,0.01,0.48470915660688785
0.35,0.04,0.01,0.5389523738023009
0.4,0.04,0.01,0.587897709730223
0.45,0.04,0.01,0.6320705093016841
0.5,0.04,0.01,0.6719398351902685
0.55,0.04,0.01,0.707925658832666
0.6,0.04,0.01,0.740404284040871
0.65,0.04,0.01,0.7696971582396205
0.7,0.04,0.01,0.7961086598414211
0.75,0.04,0.01,0.8199228088097023
0.8,0.04,0.01,0.8413951918426165
0.85,0.04,0.01,0.8607558912462883
0.9,0.04,0.01,0.8782119569938098
0.95,0.04,0.01,0.8939499189857227
1.0,0.04,0.01,0.9081378444542012
0.3,0.05,0.01,0.4853209788541097
0.35,0.05,0.01,0.5395016908291047
0.4,0.05,0.01,0.5883697018035227
0.45,0.05,0.01,0.6324552233950761
0.5,0.05,0.01,0.6722453651533249
0.55,0.05,0.01,0.7081756870319729
0.6,0.05,0.01,0.7405539430534247
0.65,0.05,0.01,0.7697333316502568
0.7,0.05,0.01,0.7960306228962022
0.75,0.05,0.01,0.819731034132642
0.8,0.05,0.01,0.8410910969171483
0.85,0.05,0.01,0.860341539837253
0.9,0.05,0.01,0.8776901315043845
0.95,0.05,0.01,0.8933240158966727
1.0,0.05,0.01,0.9074116490449801
0.3,0.06,0.01,0.4860010510784859
0.35,0.06,0.01,0.5401392724344213
0.4,0.06,0.01,0.5889531950357244
0.45,0.06,0.01,0.6330931994459168
0.5,0.06,0.01,0.6728850199901649
0.55,0.06,0.01,0.708723194518532
0.6,0.06,0.01,0.7410043284085119
0.65,0.06,0.01,0.7700821713753365
0.7,0.06,0.01,0.7962761189767931
0.75,0.06,0.01,0.8198728854740674
0.8,0.06,0.01,0.8411297251475842
0.85,0.06,0.01,0.8602783224876086
0.9,0.06,0.01,0.8775271103656562
0.95,0.06,0.01,0.8930638476180686
1.0,0.06,0.01,0.9070573565834605
0.3,0.07,0.01,0.4867391968623111
0.35,0.07,0.01,0.5408541983741819
0.4,0.07,0.01,0.589863015616199
0.45,0.07,0.01,0.633991716641122
0.5,0.07,0.01,0.673712015871203
0.55,0.07,0.01,0.709468637322543
0.6,0.07,0.01,0.7416605806675405
0.65,0.07,0.01,0.7706460489538361
0.7,0.07,0.01,0.796744962205306
0.75,0.07,0.01,0.8202451346852654
0.8,0.07,0.01,0.8414050177329433
0.85,0.07,0.01,0.860457329772575
0.9,0.07,0.01,0.8776115738046312
0.95,0.07,0.01,0.8930556938524213
1.0,0.07,0.01,0.906959128469651
0.3,0.08,0.01,0.48752882458537095
0.35,0.08,0.01,0.5419352770707487
0.4,0.08,0.01,0.5909399725996743
0.45,0.08,0.01,0.6350185964447755
0.5,0.08,0.01,0.6746745679925581
0.55,0.08,0.01,0.7103574337716199
0.6,0.08,0.01,0.7424689211488442
0.65,0.08,0.01,0.7713680019856205
0.7,0.08,0.01,0.7973776959294833
