adhesivity,particle_size,n,product
0.3,0.03,0.04,0.5664506177479368
0.35,0.03,0.04,0.6294184466593549
0.4,0.03,0.04,0.6861423703858816
0.45,0.03,0.04,0.7372375585543204
0.5,0.03,0.04,0.7832509541217054
0.55,0.03,0.04,0.8246684150802039
0.6,0.03,0.04,0.8619241975222572
0.65,0.03,0.04,0.89541265641891
0.7,0.03,0.04,0.9254808929535604
0.75,0.03,0.04,0.9524467937596761
0.8,0.03,0.04,0.9762743258675048
0.85,0.03,0.04,0.9974254448629207
0.9,0.03,0.04,1.0163815261029399
0.95,0.03,0.04,1.033359383496177
1.0,0.03,0.04,1.048568786004842
0.3,0.04,0.04,0.5634919257114773
0.35,0.04,0.04,0.6258593973589226
0.4,0.04,0.04,0.6819824815651548
0.45,0.04,0.04,0.732469884785249
0.5,0.04,0.04,0.777863958217306
0.55,0.04,0.04,0.8186445882835947
0.6,0.04,0.04,0.8552435661145755
0.65,0.04,0.04,0.8875426404023451
0.7,0.04,0.04,0.916513673550998
0.75,0.04,0.04,0.9424996729960253
0.8,0.04,0.04,0.9658022768537564
0.85,0.04,0.04,0.986691463750836
0.9,0.04,0.04,1.0054076203430784
0.95,0.04,0.04,1.0221677637457114
1.0,0.04,0.04,1.0371669853509224
0.3,0.05,0.04,0.560851984773326
0.35,0.05,0.04,0.6226956302680017
0.4,0.05,0.04,0.6782906441633106
0.45,0.05,0.04,0.7282376299105767
0.5,0.05,0.04,0.7729729836709114
0.55,0.05,0.04,0.8127342442741957
0.6,0.05,0.04,0.8484067564267505
0.65,0.05,0.04,0.8804050191651802
0.7,0.05,0.04,0.9091064465019709
0.75,0.05,0.04,0.9348426105983191
0.8,0.05,0.04,0.9579216481800458
0.85,0.05,0.04,0.9785992710790481
0.9,0.05,0.04,0.997121496710436
0.95,0.05,0.04,1.0137059119483274
1.0,0.05,0.04,1.0285450715843445
0.3,0.06,0.04,0.5584664122266843
0.35,0.06,0.04,0.6198465551750123
0.4,0.06,0.04,0.674965211865907
0.45,0.06,0.04,0.7241205677053365
0.5,0.06,0.04,0.7681219683923958
0.55,0.06,0.04,0.8075933060271935
0.6,0.06,0.04,0.8429964283136415
0.65,0.06,0.04,0.8747540307665062
0.7,0.06,0.04,0.9032352557393115
0.75,0.06,0.04,0.9287681966941636
0.8,0.06,0.04,0.9516534459470276
0.85,0.06,0.04,0.9721578229368625
0.9,0.06,0.04,0.990520211172353
0.95,0.06,0.04,1.0069628500209857
1.0,0.06,0.04,1.0216682215801611
0.3,0.07,0.04,0.5562922212647544
0.35,0.07,0.04,0.6172501452938413
0.4,0.07,0.04,0.6716613529004541
0.45,0.07,0.04,0.7204266094890812
0.5,0.07,0.04,0.7641610176343339
0.55,0.07,0.04,0.8033888003575013
0.6,0.07,0.04,0.8385727152024322
0.65,0.07,0.04,0.8701230860605467
