adhesivity,particle_size,n,product
0.3,0.03,1,64.27930194633895
0.35,0.03,1,59.6916515952706
0.4,0.03,1,55.363098311301236
0.45,0.03,1,51.29473733362982
0.5,0.03,1,47.48475199749335
0.55,0.03,1,43.92950234885194
0.6,0.03,1,40.6227744964341
0.65,0.03,1,37.55755412640148
0.7,0.03,1,34.72494684519892
0.75,0.03,1,32.11510555272225
0.8,0.03,1,29.718654355200922
0.85,0.03,1,27.526608293200592
0.9,0.03,1,25.529593222087207
0.95,0.03,1,23.722674622662993
1.0,0.03,1,22.09964521754482
0.3,0.04,1,69.1704825115794
0.35,0.04,1,65.00505957194578
0.4,0.04,1,61.026652269717424
0.45,0.04,1,57.25360014022444
0.5,0.04,1,53.70465277258811
0.55,0.04,1,50.39350152023805
0.6,0.04,1,47.3346522863839
0.65,0.04,1,44.54359912925001
0.7,0.04,1,42.04276181007415
0.75,0.04,1,39.86695711178867
0.8,0.04,1,38.07841860812727
0.85,0.04,1,36.804660481004134
0.9,0.04,1,36.3777418559415
0.3,0.05,1,74.90106210802
0.35,0.05,1,71.4296022836895
0.4,0.05,1,68.1179566662494
0.45,0.05,1,65.02878761810106
0.5,0.05,1,62.22378713643053
0.55,0.05,1,59.79398975343102
0.6,0.05,1,57.8763062065732
0.65,0.05,1,56.73006897237515
0.7,0.05,1,56.96240781045421
0.3,0.06,1,81.72235291023854
0.35,0.06,1,79.38503063162767
0.4,0.06,1,77.3442338890658
0.45,0.06,1,75.78722604339586
0.5,0.06,1,75.04868209653806
0.55,0.06,1,75.81399091396509
0.3,0.07,1,89.99619390430135
0.35,0.07,1,89.57332082547043
0.4,0.07,1,90.04371451194439
0.45,0.07,1,92.28890496068928
0.5,0.07,1,98.74559006958738
0.3,0.08,1,100.29037626740221
0.35,0.08,1,103.2550394410502
0.4,0.08,1,109.2927644188603
0.3,0.09,1,113.55468883271365
0.35,0.09,1,123.08278540122923
0.3,0.1,1,131.53223600961806
0.3,0.03,2,7737.959857835559
0.35,0.03,2,7366.288437237798
0.4,0.03,2,6995.057050746404
0.45,0.03,2,6628.4608236875165
0.5,0.03,2,6270.220273847782
0.55,0.03,2,5923.478839813002
0.6,0.03,2,5590.813083966232
0.65,0.03,2,5274.501863136087
0.7,0.03,2,4976.191218957765
0.75,0.03,2,4697.133646678765
0.8,0.03,2,4438.5776403088885
0.85,0.03,2,4201.748738354253
0.9,0.03,2,3987.6428552066336
0.95,0.03,2,3798.5631152872174
1.0,0.03,2,3636.4830995364077
0.3,0.04,2,8942.606928229812
0.35,0.04,2,8716.431727928166
0.4,0.04,2,8478.212286935408
0.45,0.04,2,8235.38942922649
0.5,0.04,2,7996.541204711332
0.55,0.04,2,7769.762313382191
0.6,0.04,2,7564.352357626479
0.65,0.04,2,7391.056806663835
0.7,0.04,2,7264.408464310408
0.75,0.04,2,7205.66871958126
0.8,0.04,2,7250.516299804452
0.85,0.04,2,7469.413602335848
0.9,0.04,2,8044.026473195936
0.3,0.05,2,10464.665250148328
0.35,0.05,2,10500.536508205136
0.4,0.05,2,10536.155900592605
0.45,0.05,2,10594.050388340356
0.5,0.05,2,10701.195818995402
0.55,0.05,2,10900.999528027905
0.6,0.05,2,11264.963181374906
0.65,0.05,2,11935.699878962152
0.7,0.05,2,13266.360904736282
0.3,0.06,2,12432.20718335552
0.35,0.06,2,12939.714118568054
0.4,0.06,2,13548.001488745756
0.45,0.06,2,14346.800887666335
0.5,0.06,2,15514.466182698146
0.55,0.06,2,17455.661225560703
0.3,0.07,2,15046.041051693317
0.35,0.07,2,16435.166807467464
0.4,0.07,2,18312.02690835469
0.45,0.07,2,21206.35112818711
0.5,0.07,2,26752.829790320055
0.3,0.08,2,18646.002301916724
0.35,0.08,2,21785.738094139066
0.4,0.08,2,26898.785642844992
0.3,0.09,2,23853.34836712764
0.35,0.09,2,30875.662948138015
0.3,0.1,2,31933.196893697637
0.3,0.03,3,931497.71308126
0.35,0.03,3,909041.7820652578
0.4,0.03,3,883816.5607723718
0.45,0.03,3,856549.7198160829
0.5,0.03,3,827963.9385006616
0.55,0.03,3,798725.2231330905
0.6,0.03,3,769449.9286992765
0.65,0.03,3,740739.6608042012
