adhesivity_throughput_100,particle_size,weight_coefficient
1.0,0.02,0.0
0.93,0.04,0.0
0.59,0.06,0.0
0.44,0.08,0.0
0.33,0.1,0.0
1.0,0.02,0.1
0.93,0.04,0.1
0.59,0.06,0.1
0.44,0.08,0.1
0.33,0.1,0.1
1.0,0.02,0.2
0.93,0.04,0.2
0.59,0.06,0.2
0.44,0.08,0.2
0.33,0.1,0.2
1.0,0.02,0.3
0.84,0.04,0.3
0.59,0.06,0.3
0.44,0.08,0.3
0.33,0.1,0.3
1.0,0.02,0.4
0.79,0.04,0.4
0.54,0.06,0.4
0.42,0.08,0.4
0.33,0.1,0.4
1.0,0.02,0.5
0.74,0.04,0.5
0.51,0.06,0.5
0.38,0.08,0.5
0.31,0.1,0.5
1.0,0.02,0.6
0.7,0.04,0.6
0.48,0.06,0.6
0.35,0.08,0.6
0.28,0.1,0.6
0.99,0.02,0.7
0.67,0.04,0.7
0.45,0.06,0.7
0.33,0.08,0.7
0.26,0.1,0.7
0.99,0.02,0.8
0.65,0.04,0.8
0.43,0.06,0.8
0.32,0.08,0.8
0.25,0.1,0.8
0.99,0.02,0.9
0.63,0.04,0.9
0.41,0.06,0.9
0.3,0.08,0.9
0.23,0.1,0.9
0.99,0.02,1.0
0.61,0.04,1.0
0.39,0.06,1.0
0.29,0.08,1.0
0.22,0.1,1.0
0.99,0.02,1.1
0.59,0.04,1.1
0.38,0.06,1.1
0.27,0.08,1.1
0.21,0.1,1.1
0.99,0.02,1.2
0.57,0.04,1.2
0.37,0.06,1.2
0.26,0.08,1.2
0.2,0.1,1.2
0.99,0.02,1.3
0.56,0.04,1.3
0.35,0.06,1.3
0.25,0.08,1.3
0.19,0.1,1.3
0.98,0.02,1.4
0.55,0.04,1.4
0.34,0.06,1.4
0.24,0.08,1.4
0.18,0.1,1.4
0.98,0.02,1.5
0.53,0.04,1.5
0.33,0.06,1.5
0.23,0.08,1.5
0.17,0.1,1.5
0.98,0.02,1.6
0.52,0.04,1.6
0.32,0.06,1.6
0.22,0.08,1.6
0.16,0.1,1.6
0.98,0.02,1.7
0.51,0.04,1.7
0.31,0.06,1.7
0.22,0.08,1.7
0.16,0.1,1.7
0.98,0.02,1.8
0.5,0.04,1.8
0.3,0.06,1.8
0.21,0.08,1.8
0.15,0.1,1.8
0.98,0.02,1.9
0.48,0.04,1.9
0.29,0.06,1.9
0.2,0.08,1.9
0.14,0.1,1.9
0.97,0.02,2.0
0.47,0.04,2.0
0.28,0.06,2.0
0.19,0.08,2.0
0.14,0.1,2.0
0.97,0.02,2.1
0.46,0.04,2.1
0.27,0.06,2.1
0.18,0.08,2.1
0.13,0.1,2.1
0.97,0.02,2.2
0.44,0.04,2.2
0.26,0.06,2.2
0.18,0.08,2.2
0.13,0.1,2.2
0.97,0.02,2.3
0.43,0.04,2.3
0.26,0.06,2.3
0.17,0.08,2.3
0.12,0.1,2.3
0.97,0.02,2.4
0.42,0.04,2.4
0.25,0.06,2.4
0.16,0.08,2.4
0.12,0.1,2.4
0.96,0.02,2.5
0.4,0.04,2.5
0.24,0.06,2.5
0.15,0.08,2.5
0.11,0.1,2.5
0.96,0.02,2.6
0.38,0.04,2.6
0.23,0.06,2.6
0.15,0.08,2.6
0.11,0.1,2.6
0.96,0.02,2.7
0.37,0.04,2.7
0.22,0.06,2.7
0.14,0.08,2.7
0.11,0.1,2.7
0.96,0.02,2.8
0.35,0.04,2.8
0.21,0.06,2.8
0.14,0.08,2.8
0.1,0.1,2.8
0.96,0.02,2.9
0.34,0.04,2.9
0.2,0.06,2.9
0.13,0.08,2.9
0.1,0.1,2.9
0.95,0.02,3.0
0.32,0.04,3.0
0.19,0.06,3.0
0.13,0.08,3.0
0.1,0.1,3.0
0.95,0.02,3.1
0.31,0.04,3.1
0.19,0.06,3.1
0.12,0.08,3.1
0.09,0.1,3.1
0.95,0.02,3.2
0.3,0.04,3.2
0.18,0.06,3.2
0.12,0.08,3.2
0.09,0.1,3.2
0.95,0.02,3.3
0.29,0.04,3.3
0.17,0.06,3.3
0.11,0.08,3.3
0.09,0.1,3.3
0.95,0.02,3.4
0.27,0.04,3.4
0.16,0.06,3.4
0.11,0.08,3.4
0.09,0.1,3.4
0.94,0.02,3.5
0.26,0.04,3.5
0.16,0.06,3.5
0.11,0.08,3.5
0.08,0.1,3.5
0.94,0.02,3.6
0.25,0.04,3.6
0.15,0.06,3.6
0.1,0.08,3.6
0.08,0.1,3.6
0.94,0.02,3.7
0.24,0.04,3.7
0.14,0.06,3.7
0.1,0.08,3.7
0.08,0.1,3.7
0.94,0.02,3.8
0.24,0.04,3.8
0.14,0.06,3.8
0.1,0.08,3.8
0.08,0.1,3.8
0.94,0.02,3.9
0.23,0.04,3.9
0.13,0.06,3.9
0.09,0.08,3.9
0.08,0.1,3.9
0.93,0.02,4.0
0.22,0.04,4.0
0.13,0.06,4.0
0.09,0.08,4.0
