adhesivity_throughput_100,particle_size,weight_coefficient
0.76,0.02,1.0
0.77,0.02,1.0
0.78,0.02,1.0
0.79,0.02,1.0
0.8,0.02,1.0
0.81,0.02,1.0
0.82,0.02,1.0
0.83,0.02,1.0
0.84,0.02,1.0
0.85,0.02,1.0
0.86,0.02,1.0
0.87,0.02,1.0
0.88,0.02,1.0
0.89,0.02,1.0
0.9,0.02,1.0
0.91,0.02,1.0
0.92,0.02,1.0
0.93,0.02,1.0
0.94,0.02,1.0
0.95,0.02,1.0
0.96,0.02,1.0
0.97,0.02,1.0
0.98,0.02,1.0
0.99,0.02,1.0
1.0,0.02,1.0
0.5,0.04,1.0
0.51,0.04,1.0
0.52,0.04,1.0
0.53,0.04,1.0
0.54,0.04,1.0
0.55,0.04,1.0
0.56,0.04,1.0
0.57,0.04,1.0
0.58,0.04,1.0
0.59,0.04,1.0
0.6,0.04,1.0
0.61,0.04,1.0
0.62,0.04,1.0
0.63,0.04,1.0
0.64,0.04,1.0
0.65,0.04,1.0
0.66,0.04,1.0
0.67,0.04,1.0
0.68,0.04,1.0
0.69,0.04,1.0
0.7,0.04,1.0
0.71,0.04,1.0
0.72,0.04,1.0
0.32,0.06,1.0
0.33,0.06,1.0
0.34,0.06,1.0
0.35,0.06,1.0
0.36,0.06,1.0
0.37,0.06,1.0
0.38,0.06,1.0
0.39,0.06,1.0
0.4,0.06,1.0
0.41,0.06,1.0
0.42,0.06,1.0
0.43,0.06,1.0
0.44,0.06,1.0
0.45,0.06,1.0
0.46,0.06,1.0
0.24,0.08,1.0
0.25,0.08,1.0
0.26,0.08,1.0
0.27,0.08,1.0
0.28,0.08,1.0
0.29,0.08,1.0
0.3,0.08,1.0
0.31,0.08,1.0
0.32,0.08,1.0
0.33,0.08,1.0
0.34,0.08,1.0
0.18,0.1,1.0
0.19,0.1,1.0
0.2,0.1,1.0
0.21,0.1,1.0
0.22,0.1,1.0
0.23,0.1,1.0
0.24,0.1,1.0
0.25,0.1,1.0
0.76,0.02,1.05
0.77,0.02,1.05
0.78,0.02,1.05
0.79,0.02,1.05
0.8,0.02,1.05
0.81,0.02,1.05
0.82,0.02,1.05
0.83,0.02,1.05
0.84,0.02,1.05
0.85,0.02,1.05
0.86,0.02,1.05
0.87,0.02,1.05
0.88,0.02,1.05
0.89,0.02,1.05
0.9,0.02,1.05
0.91,0.02,1.05
0.92,0.02,1.05
0.93,0.02,1.05
0.94,0.02,1.05
0.95,0.02,1.05
0.96,0.02,1.05
0.97,0.02,1.05
0.98,0.02,1.05
0.99,0.02,1.05
1.0,0.02,1.05
0.49,0.04,1.05
0.5,0.04,1.05
0.51,0.04,1.05
0.52,0.04,1.05
0.53,0.04,1.05
0.54,0.04,1.05
0.55,0.04,1.05
0.56,0.04,1.05
0.57,0.04,1.05
0.58,0.04,1.05
0.59,0.04,1.05
0.6,0.04,1.05
0.61,0.04,1.05
0.62,0.04,1.05
0.63,0.04,1.05
0.64,0.04,1.05
0.65,0.04,1.05
0.66,0.04,1.05
0.67,0.04,1.05
0.68,0.04,1.05
0.69,0.04,1.05
0.7,0.04,1.05
0.71,0.04,1.05
0.32,0.06,1.05
0.33,0.06,1.05
0.34,0.06,1.05
0.35,0.06,1.05
0.36,0.06,1.05
0.37,0.06,1.05
0.38,0.06,1.05
0.39,0.06,1.05
0.4,0.06,1.05
0.41,0.06,1.05
0.42,0.06,1.05
0.43,0.06,1.05
0.44,0.06,1.05
0.45,0.06,1.05
0.46,0.06,1.05
0.23,0.08,1.05
0.24,0.08,1.05
0.25,0.08,1.05
0.26,0.08,1.05
0.27,0.08,1.05
0.28,0.08,1.05
0.29,0.08,1.05
0.3,0.08,1.05
0.31,0.08,1.05
0.32,0.08,1.05
0.33,0.08,1.05
0.18,0.1,1.05
0.19,0.1,1.05
0.2,0.1,1.05
0.21,0.1,1.05
0.22,0.1,1.05
0.23,0.1,1.05
0.24,0.1,1.05
0.25,0.1,1.05
0.76,0.02,1.1
0.77,0.02,1.1
0.78,0.02,1.1
0.79,0.02,1.1
0.8,0.02,1.1
0.81,0.02,1.1
0.82,0.02,1.1
0.83,0.02,1.1
0.84,0.02,1.1
0.85,0.02,1.1
0.86,0.02,1.1
0.87,0.02,1.1
0.88,0.02,1.1
0.89,0.02,1.1
0.9,0.02,1.1
0.91,0.02,1.1
0.92,0.02,1.1
0.93,0.02,1.1
0.94,0.02,1.1
0.95,0.02,1.1
0.96,0.02,1.1
0.97,0.02,1.1
0.98,0.02,1.1
0.99,0.02,1.1
1.0,0.02,1.1
0.48,0.04,1.1
0.49,0.04,1.1
0.5,0.04,1.1
0.51,0.04,1.1
0.52,0.04,1.1
0.53,0.04,1.1
0.54,0.04,1.1
0.55,0.04,1.1
0.56,0.04,1.1
0.57,0.04,1.1
0.58,0.04,1.1
0.59,0.04,1.1
0.6,0.04,1.1
0.61,0.04,1.1
0.62,0.04,1.1
0.63,0.04,1.1
0.64,0.04,1.1
0.65,0.04,1.1
0.66,0.04,1.1
0.67,0.04,1.1
0.68,0.04,1.1
0.69,0.04,1.1
0.7,0.04,1.1
0.31,0.06,1.1
0.32,0.06,1.1
0.33,0.06,1.1
0.34,0.06,1.1
0.35,0.06,1.1
0.36,0.06,1.1
0.37,0.06,1.1
0.38,0.06,1.1
0.39,0.06,1.1
0.4,0.06,1.1
0.41,0.06,1.1
0.42,0.06,1.1
0.43,0.06,1.1
0.44,0.06,1.1
0.45,0.06,1.1
0.22,0.08,1.1
0.23,0.08,1.1
0.24,0.08,1.1
0.25,0.08,1.1
0.26,0.08,1.1
0.27,0.08,1.1
0.28,0.08,1.1
0.29,0.08,1.1
0.3,0.08,1.1
0.31,0.08,1.1
0.32,0.08,1.1
0.17,0.1,1.1
0.18,0.1,1.1
0.19,0.1,1.1
0.2,0.1,1.1
0.21,0.1,1.1
0.22,0.1,1.1
0.23,0.1,1.1
0.24,0.1,1.1
0.76,0.02,1.15
0.77,0.02,1.15
0.78,0.02,1.15
0.79,0.02,1.15
0.8,0.02,1.15
0.81,0.02,1.15
0.82,0.02,1.15
0.83,0.02,1.15
0.84,0.02,1.15
0.85,0.02,1.15
0.86,0.02,1.15
0.87,0.02,1.15
0.88,0.02,1.15
0.89,0.02,1.15
0.9,0.02,1.15
0.91,0.02,1.15
0.92,0.02,1.15
0.93,0.02,1.15
0.94,0.02,1.15
0.95,0.02,1.15
0.96,0.02,1.15
0.97,0.02,1.15
0.98,0.02,1.15
0.99,0.02,1.15
1.0,0.02,1.15
0.47,0.04,1.15
0.48,0.04,1.15
0.49,0.04,1.15
0.5,0.04,1.15
0.51,0.04,1.15
0.52,0.04,1.15
0.53,0.04,1.15
0.54,0.04,1.15
0.55,0.04,1.15
0.56,0.04,1.15
0.57,0.04,1.15
0.58,0.04,1.15
0.59,0.04,1.15
0.6,0.04,1.15
0.61,0.04,1.15
0.62,0.04,1.15
0.63,0.04,1.15
0.64,0.04,1.15
0.65,0.04,1.15
0.66,0.04,1.15
0.67,0.04,1.15
0.68,0.04,1.15
0.69,0.04,1.15
0.3,0.06,1.15
0.31,0.06,1.15
0.32,0.06,1.15
0.33,0.06,1.15
0.34,0.06,1.15
0.35,0.06,1.15
0.36,0.06,1.15
0.37,0.06,1.15
0.38,0.06,1.15
0.39,0.06,1.15
0.4,0.06,1.15
0.41,0.06,1.15
0.42,0.06,1.15
0.43,0.06,1.15
0.44,0.06,1.15
0.22,0.08,1.15
0.23,0.08,1.15
0.24,0.08,1.15
0.25,0.08,1.15
0.26,0.08,1.15
0.27,0.08,1.15
0.28,0.08,1.15
0.29,0.08,1.15
0.3,0.08,1.15
0.31,0.08,1.15
0.32,0.08,1.15
0.17,0.1,1.15
0.18,0.1,1.15
0.19,0.1,1.15
0.2,0.1,1.15
0.21,0.1,1.15
0.22,0.1,1.15
0.23,0.1,1.15
0.24,0.1,1.15
0.76,0.02,1.2
0.77,0.02,1.2
0.78,0.02,1.2
0.79,0.02,1.2
0.8,0.02,1.2
0.81,0.02,1.2
0.82,0.02,1.2
0.83,0.02,1.2
0.84,0.02,1.2
0.85,0.02,1.2
0.86,0.02,1.2
0.87,0.02,1.2
0.88,0.02,1.2
0.89,0.02,1.2
0.9,0.02,1.2
0.91,0.02,1.2
0.92,0.02,1.2
0.93,0.02,1.2
0.94,0.02,1.2
0.95,0.02,1.2
0.96,0.02,1.2
0.97,0.02,1.2
0.98,0.02,1.2
0.99,0.02,1.2
1.0,0.02,1.2
0.46,0.04,1.2
0.47,0.04,1.2
0.48,0.04,1.2
0.49,0.04,1.2
0.5,0.04,1.2
0.51,0.04,1.2
0.52,0.04,1.2
0.53,0.04,1.2
0.54,0.04,1.2
0.55,0.04,1.2
0.56,0.04,1.2
0.57,0.04,1.2
0.58,0.04,1.2
0.59,0.04,1.2
0.6,0.04,1.2
0.61,0.04,1.2
0.62,0.04,1.2
0.63,0.04,1.2
0.64,0.04,1.2
0.65,0.04,1.2
0.66,0.04,1.2
0.67,0.04,1.2
0.68,0.04,1.2
0.3,0.06,1.2
0.31,0.06,1.2
0.32,0.06,1.2
0.33,0.06,1.2
0.34,0.06,1.2
0.35,0.06,1.2
0.36,0.06,1.2
0.37,0.06,1.2
0.38,0.06,1.2
0.39,0.06,1.2
0.4,0.06,1.2
0.41,0.06,1.2
0.42,0.06,1.2
0.43,0.06,1.2
0.44,0.06,1.2
0.21,0.08,1.2
0.22,0.08,1.2
0.23,0.08,1.2
0.24,0.08,1.2
0.25,0.08,1.2
0.26,0.08,1.2
0.27,0.08,1.2
0.28,0.08,1.2
0.29,0.08,1.2
0.3,0.08,1.2
0.31,0.08,1.2
0.16,0.1,1.2
0.17,0.1,1.2
0.18,0.1,1.2
0.19,0.1,1.2
0.2,0.1,1.2
0.21,0.1,1.2
0.22,0.1,1.2
0.23,0.1,1.2
0.76,0.02,1.25
0.77,0.02,1.25
0.78,0.02,1.25
0.79,0.02,1.25
0.8,0.02,1.25
0.81,0.02,1.25
0.82,0.02,1.25
0.83,0.02,1.25
0.84,0.02,1.25
0.85,0.02,1.25
0.86,0.02,1.25
0.87,0.02,1.25
0.88,0.02,1.25
0.89,0.02,1.25
0.9,0.02,1.25
0.91,0.02,1.25
0.92,0.02,1.25
0.93,0.02,1.25
0.94,0.02,1.25
0.95,0.02,1.25
0.96,0.02,1.25
0.97,0.02,1.25
0.98,0.02,1.25
0.99,0.02,1.25
1.0,0.02,1.25
0.46,0.04,1.25
0.47,0.04,1.25
0.48,0.04,1.25
0.49,0.04,1.25
0.5,0.04,1.25
0.51,0.04,1.25
0.52,0.04,1.25
0.53,0.04,1.25
0.54,0.04,1.25
0.55,0.04,1.25
0.56,0.04,1.25
0.57,0.04,1.25
0.58,0.04,1.25
0.59,0.04,1.25
0.6,0.04,1.25
0.61,0.04,1.25
0.62,0.04,1.25
0.63,0.04,1.25
0.64,0.04,1.25
0.65,0.04,1.25
0.66,0.04,1.25
0.67,0.04,1.25
0.68,0.04,1.25
0.29,0.06,1.25
0.3,0.06,1.25
0.31,0.06,1.25
0.32,0.06,1.25
0.33,0.06,1.25
0.34,0.06,1.25
0.35,0.06,1.25
0.36,0.06,1.25
0.37,0.06,1.25
0.38,0.06,1.25
0.39,0.06,1.25
0.4,0.06,1.25
0.41,0.06,1.25
0.42,0.06,1.25
0.43,0.06,1.25
0.21,0.08,1.25
0.22,0.08,1.25
0.23,0.08,1.25
0.24,0.08,1.25
0.25,0.08,1.25
0.26,0.08,1.25
0.27,0.08,1.25
0.28,0.08,1.25
0.29,0.08,1.25
0.3,0.08,1.25
0.31,0.08,1.25
0.16,0.1,1.25
0.17,0.1,1.25
0.18,0.1,1.25
0.19,0.1,1.25
0.2,0.1,1.25
0.21,0.1,1.25
0.22,0.1,1.25
0.23,0.1,1.25
0.76,0.02,1.3
0.77,0.02,1.3
0.78,0.02,1.3
0.79,0.02,1.3
0.8,0.02,1.3
0.81,0.02,1.3
0.82,0.02,1.3
0.83,0.02,1.3
0.84,0.02,1.3
0.85,0.02,1.3
0.86,0.02,1.3
0.87,0.02,1.3
0.88,0.02,1.3
0.89,0.02,1.3
0.9,0.02,1.3
0.91,0.02,1.3
0.92,0.02,1.3
0.93,0.02,1.3
0.94,0.02,1.3
0.95,0.02,1.3
0.96,0.02,1.3
0.97,0.02,1.3
0.98,0.02,1.3
0.99,0.02,1.3
1.0,0.02,1.3
0.45,0.04,1.3
0.46,0.04,1.3
0.47,0.04,1.3
0.48,0.04,1.3
0.49,0.04,1.3
0.5,0.04,1.3
0.51,0.04,1.3
0.52,0.04,1.3
0.53,0.04,1.3
0.54,0.04,1.3
0.55,0.04,1.3
0.56,0.04,1.3
0.57,0.04,1.3
0.58,0.04,1.3
0.59,0.04,1.3
0.6,0.04,1.3
0.61,0.04,1.3
0.62,0.04,1.3
0.63,0.04,1.3
0.64,0.04,1.3
0.65,0.04,1.3
0.66,0.04,1.3
0.67,0.04,1.3
0.28,0.06,1.3
0.29,0.06,1.3
0.3,0.06,1.3
0.31,0.06,1.3
0.32,0.06,1.3
0.33,0.06,1.3
0.34,0.06,1.3
0.35,0.06,1.3
0.36,0.06,1.3
0.37,0.06,1.3
0.38,0.06,1.3
0.39,0.06,1.3
0.4,0.06,1.3
0.41,0.06,1.3
0.42,0.06,1.3
0.2,0.08,1.3
0.21,0.08,1.3
0.22,0.08,1.3
0.23,0.08,1.3
0.24,0.08,1.3
0.25,0.08,1.3
0.26,0.08,1.3
0.27,0.08,1.3
0.28,0.08,1.3
0.29,0.08,1.3
0.3,0.08,1.3
0.15,0.1,1.3
0.16,0.1,1.3
0.17,0.1,1.3
0.18,0.1,1.3
0.19,0.1,1.3
0.2,0.1,1.3
0.21,0.1,1.3
0.22,0.1,1.3
0.76,0.02,1.35
0.77,0.02,1.35
0.78,0.02,1.35
0.79,0.02,1.35
0.8,0.02,1.35
0.81,0.02,1.35
0.82,0.02,1.35
0.83,0.02,1.35
0.84,0.02,1.35
0.85,0.02,1.35
0.86,0.02,1.35
0.87,0.02,1.35
0.88,0.02,1.35
0.89,0.02,1.35
0.9,0.02,1.35
0.91,0.02,1.35
0.92,0.02,1.35
0.93,0.02,1.35
0.94,0.02,1.35
0.95,0.02,1.35
0.96,0.02,1.35
0.97,0.02,1.35
0.98,0.02,1.35
0.99,0.02,1.35
1.0,0.02,1.35
0.44,0.04,1.35
0.45,0.04,1.35
0.46,0.04,1.35
0.47,0.04,1.35
0.48,0.04,1.35
0.49,0.04,1.35
0.5,0.04,1.35
0.51,0.04,1.35
0.52,0.04,1.35
0.53,0.04,1.35
0.54,0.04,1.35
0.55,0.04,1.35
0.56,0.04,1.35
0.57,0.04,1.35
0.58,0.04,1.35
0.59,0.04,1.35
0.6,0.04,1.35
0.61,0.04,1.35
0.62,0.04,1.35
0.63,0.04,1.35
0.64,0.04,1.35
0.65,0.04,1.35
0.66,0.04,1.35
0.28,0.06,1.35
0.29,0.06,1.35
0.3,0.06,1.35
0.31,0.06,1.35
0.32,0.06,1.35
0.33,0.06,1.35
0.34,0.06,1.35
0.35,0.06,1.35
0.36,0.06,1.35
0.37,0.06,1.35
0.38,0.06,1.35
0.39,0.06,1.35
0.4,0.06,1.35
0.41,0.06,1.35
0.42,0.06,1.35
0.2,0.08,1.35
0.21,0.08,1.35
0.22,0.08,1.35
0.23,0.08,1.35
0.24,0.08,1.35
0.25,0.08,1.35
0.26,0.08,1.35
0.27,0.08,1.35
0.28,0.08,1.35
0.29,0.08,1.35
0.3,0.08,1.35
0.15,0.1,1.35
0.16,0.1,1.35
0.17,0.1,1.35
0.18,0.1,1.35
0.19,0.1,1.35
0.2,0.1,1.35
0.21,0.1,1.35
0.22,0.1,1.35
0.76,0.02,1.4
0.77,0.02,1.4
0.78,0.02,1.4
0.79,0.02,1.4
0.8,0.02,1.4
0.81,0.02,1.4
0.82,0.02,1.4
0.83,0.02,1.4
0.84,0.02,1.4
0.85,0.02,1.4
0.86,0.02,1.4
0.87,0.02,1.4
0.88,0.02,1.4
0.89,0.02,1.4
0.9,0.02,1.4
0.91,0.02,1.4
0.92,0.02,1.4
0.93,0.02,1.4
0.94,0.02,1.4
0.95,0.02,1.4
0.96,0.02,1.4
0.97,0.02,1.4
0.98,0.02,1.4
0.99,0.02,1.4
1.0,0.02,1.4
0.43,0.04,1.4
0.44,0.04,1.4
0.45,0.04,1.4
0.46,0.04,1.4
0.47,0.04,1.4
0.48,0.04,1.4
0.49,0.04,1.4
0.5,0.04,1.4
0.51,0.04,1.4
0.52,0.04,1.4
0.53,0.04,1.4
0.54,0.04,1.4
0.55,0.04,1.4
0.56,0.04,1.4
0.57,0.04,1.4
0.58,0.04,1.4
0.59,0.04,1.4
0.6,0.04,1.4
0.61,0.04,1.4
0.62,0.04,1.4
0.63,0.04,1.4
0.64,0.04,1.4
0.65,0.04,1.4
0.27,0.06,1.4
0.28,0.06,1.4
0.29,0.06,1.4
0.3,0.06,1.4
0.31,0.06,1.4
0.32,0.06,1.4
0.33,0.06,1.4
0.34,0.06,1.4
0.35,0.06,1.4
0.36,0.06,1.4
0.37,0.06,1.4
0.38,0.06,1.4
0.39,0.06,1.4
0.4,0.06,1.4
0.41,0.06,1.4
0.19,0.08,1.4
0.2,0.08,1.4
0.21,0.08,1.4
0.22,0.08,1.4
0.23,0.08,1.4
0.24,0.08,1.4
0.25,0.08,1.4
0.26,0.08,1.4
0.27,0.08,1.4
0.28,0.08,1.4
0.29,0.08,1.4
0.14,0.1,1.4
0.15,0.1,1.4
0.16,0.1,1.4
0.17,0.1,1.4
0.18,0.1,1.4
0.19,0.1,1.4
0.2,0.1,1.4
0.21,0.1,1.4
0.76,0.02,1.45
0.77,0.02,1.45
