adhesivity_throughput_100,particle_size,weight_coefficient
1.0,0.01,0.0
1.0,0.02,0.0
1.0,0.03,0.0
0.93,0.04,0.0
0.73,0.05,0.0
0.594,0.06,0.0
0.509,0.07,0.0
0.44,0.08,0.0
0.381,0.09,0.0
0.334,0.1,0.0
1.0,0.01,0.1
1.0,0.02,0.1
1.0,0.03,0.1
0.93,0.04,0.1
0.73,0.05,0.1
0.594,0.06,0.1
0.509,0.07,0.1
0.44,0.08,0.1
0.381,0.09,0.1
0.334,0.1,0.1
1.0,0.01,0.2
1.0,0.02,0.2
1.0,0.03,0.2
0.89,0.04,0.2
0.72,0.05,0.2
0.59,0.06,0.2
0.509,0.07,0.2
0.44,0.08,0.2
0.381,0.09,0.2
0.33,0.1,0.2
1.0,0.01,0.3
1.0,0.02,0.3
1.0,0.03,0.3
0.85,0.04,0.3
0.69,0.05,0.3
0.57,0.06,0.3
0.509,0.07,0.3
0.44,0.08,0.3
0.38,0.09,0.3
0.33,0.1,0.3
1.0,0.01,0.4
1.0,0.02,0.4
1.0,0.03,0.4
0.81,0.04,0.4
0.65,0.05,0.4
0.55,0.06,0.4
0.47,0.07,0.4
0.44,0.08,0.4
0.36,0.09,0.4
0.32,0.1,0.4
1.0,0.01,0.5
1.0,0.02,0.5
1.0,0.03,0.5
0.77,0.04,0.5
0.62,0.05,0.5
0.52,0.06,0.5
0.44,0.07,0.5
0.39,0.08,0.5
0.34,0.09,0.5
0.3,0.1,0.5
1.0,0.01,0.6
1.0,0.02,0.6
0.97,0.03,0.6
0.74,0.04,0.6
0.59,0.05,0.6
0.49,0.06,0.6
0.42,0.07,0.6
0.36,0.08,0.6
0.32,0.09,0.6
0.29,0.1,0.6
1.0,0.01,0.7
1.0,0.02,0.7
0.93,0.03,0.7
0.71,0.04,0.7
0.57,0.05,0.7
0.47,0.06,0.7
0.4,0.07,0.7
0.34,0.08,0.7
0.3,0.09,0.7
0.27,0.1,0.7
1.0,0.01,0.8
1.0,0.02,0.8
0.9,0.03,0.8
0.68,0.04,0.8
0.54,0.05,0.8
0.45,0.06,0.8
0.38,0.07,0.8
0.33,0.08,0.8
0.29,0.09,0.8
0.25,0.1,0.8
1.0,0.01,0.9
1.0,0.02,0.9
0.87,0.03,0.9
0.65,0.04,0.9
0.52,0.05,0.9
0.43,0.06,0.9
0.36,0.07,0.9
0.31,0.08,0.9
0.27,0.09,0.9
0.24,0.1,0.9
1.0,0.01,1.0
1.0,0.02,1.0
0.84,0.03,1.0
0.63,0.04,1.0
0.5,0.05,1.0
0.4,0.06,1.0
0.34,0.07,1.0
0.29,0.08,1.0
0.25,0.09,1.0
0.23,0.1,1.0
1.0,0.01,1.1
1.0,0.02,1.1
0.81,0.03,1.1
0.6,0.04,1.1
0.47,0.05,1.1
0.39,0.06,1.1
0.32,0.07,1.1
0.28,0.08,1.1
0.24,0.09,1.1
0.21,0.1,1.1
1.0,0.01,1.2
1.0,0.02,1.2
0.78,0.03,1.2
0.58,0.04,1.2
0.45,0.05,1.2
0.37,0.06,1.2
0.31,0.07,1.2
0.26,0.08,1.2
0.23,0.09,1.2
0.2,0.1,1.2
1.0,0.01,1.3
1.0,0.02,1.3
0.76,0.03,1.3
0.56,0.04,1.3
0.43,0.05,1.3
0.35,0.06,1.3
0.29,0.07,1.3
0.25,0.08,1.3
0.22,0.09,1.3
0.19,0.1,1.3
1.0,0.01,1.4
1.0,0.02,1.4
0.73,0.03,1.4
0.54,0.04,1.4
0.4,0.05,1.4
0.34,0.06,1.4
0.28,0.07,1.4
0.24,0.08,1.4
0.21,0.09,1.4
0.18,0.1,1.4
1.0,0.01,1.5
1.0,0.02,1.5
0.71,0.03,1.5
0.52,0.04,1.5
0.4,0.05,1.5
0.32,0.06,1.5
0.27,0.07,1.5
0.23,0.08,1.5
0.2,0.09,1.5
0.17,0.1,1.5
1.0,0.01,1.6
1.0,0.02,1.6
0.69,0.03,1.6
0.5,0.04,1.6
0.38,0.05,1.6
0.31,0.06,1.6
0.25,0.07,1.6
0.22,0.08,1.6
0.19,0.09,1.6
0.16,0.1,1.6
1.0,0.01,1.7
1.0,0.02,1.7
0.66,0.03,1.7
0.48,0.04,1.7
0.37,0.05,1.7
0.29,0.06,1.7
0.24,0.07,1.7
0.21,0.08,1.7
0.18,0.09,1.7
0.16,0.1,1.7
1.0,0.01,1.8
0.98,0.02,1.8
0.64,0.03,1.8
0.46,0.04,1.8
0.35,0.05,1.8
0.28,0.06,1.8
0.23,0.07,1.8
0.2,0.08,1.8
0.17,0.09,1.8
0.15,0.1,1.8
1.0,0.01,1.9
0.95,0.02,1.9
0.62,0.03,1.9
0.44,0.04,1.9
0.34,0.05,1.9
0.27,0.06,1.9
0.22,0.07,1.9
0.19,0.08,1.9
0.16,0.09,1.9
0.14,0.1,1.9
1.0,0.01,2.0
0.93,0.02,2.0
0.6,0.03,2.0
0.4,0.04,2.0
0.33,0.05,2.0
0.26,0.06,2.0
0.21,0.07,2.0
0.18,0.08,2.0
0.16,0.09,2.0
0.14,0.1,2.0
1.0,0.01,2.1
0.91,0.02,2.1
0.58,0.03,2.1
0.4,0.04,2.1
0.31,0.05,2.1
0.25,0.06,2.1
0.21,0.07,2.1
0.17,0.08,2.1
0.15,0.09,2.1
0.13,0.1,2.1
1.0,0.01,2.2
0.88,0.02,2.2
0.57,0.03,2.2
0.4,0.04,2.2
0.3,0.05,2.2
0.24,0.06,2.2
0.2,0.07,2.2
0.17,0.08,2.2
0.14,0.09,2.2
0.13,0.1,2.2
1.0,0.01,2.3
0.86,0.02,2.3
0.55,0.03,2.3
0.38,0.04,2.3
0.29,0.05,2.3
0.23,0.06,2.3
0.19,0.07,2.3
0.16,0.08,2.3
0.14,0.09,2.3
0.12,0.1,2.3
1.0,0.01,2.4
0.84,0.02,2.4
0.53,0.03,2.4
0.37,0.04,2.4
0.28,0.05,2.4
0.22,0.06,2.4
0.18,0.07,2.4
0.16,0.08,2.4
0.13,0.09,2.4
0.12,0.1,2.4
1.0,0.01,2.5
0.82,0.02,2.5
0.51,0.03,2.5
0.36,0.04,2.5
0.27,0.05,2.5
0.21,0.06,2.5
0.18,0.07,2.5
0.15,0.08,2.5
0.13,0.09,2.5
0.11,0.1,2.5
1.0,0.01,2.6
0.8,0.02,2.6
0.5,0.03,2.6
0.35,0.04,2.6
0.26,0.05,2.6
0.21,0.06,2.6
0.17,0.07,2.6
0.14,0.08,2.6
0.12,0.09,2.6
0.11,0.1,2.6
1.0,0.01,2.7
0.78,0.02,2.7
0.48,0.03,2.7
0.33,0.04,2.7
0.25,0.05,2.7
0.2,0.06,2.7
0.16,0.07,2.7
0.14,0.08,2.7
0.12,0.09,2.7
0.11,0.1,2.7
1.0,0.01,2.8
0.77,0.02,2.8
0.47,0.03,2.8
0.32,0.04,2.8
0.24,0.05,2.8
0.19,0.06,2.8
0.16,0.07,2.8
0.13,0.08,2.8
0.12,0.09,2.8
0.1,0.1,2.8
1.0,0.01,2.9
0.75,0.02,2.9
0.45,0.03,2.9
0.31,0.04,2.9
0.24,0.05,2.9
0.19,0.06,2.9
0.15,0.07,2.9
0.13,0.08,2.9
0.11,0.09,2.9
0.1,0.1,2.9
1.0,0.01,3.0
0.73,0.02,3.0
0.44,0.03,3.0
0.3,0.04,3.0
0.23,0.05,3.0
0.18,0.06,3.0
0.15,0.07,3.0
0.13,0.08,3.0
0.11,0.09,3.0
0.1,0.1,3.0
1.0,0.01,3.1
0.71,0.02,3.1
0.4,0.03,3.1
0.29,0.04,3.1
0.22,0.05,3.1
0.17,0.06,3.1
0.14,0.07,3.1
0.12,0.08,3.1
0.11,0.09,3.1
0.09,0.1,3.1
1.0,0.01,3.2
0.69,0.02,3.2
0.4,0.03,3.2
0.29,0.04,3.2
0.21,0.05,3.2
0.17,0.06,3.2
0.14,0.07,3.2
0.12,0.08,3.2
0.1,0.09,3.2
0.09,0.1,3.2
1.0,0.01,3.3
0.68,0.02,3.3
0.4,0.03,3.3
0.28,0.04,3.3
0.21,0.05,3.3
0.16,0.06,3.3
0.14,0.07,3.3
0.11,0.08,3.3
0.1,0.09,3.3
0.09,0.1,3.3
1.0,0.01,3.4
0.66,0.02,3.4
0.39,0.03,3.4
0.27,0.04,3.4
0.21,0.05,3.4
0.16,0.06,3.4
0.13,0.07,3.4
0.11,0.08,3.4
0.1,0.09,3.4
0.08,0.1,3.4
1.0,0.01,3.5
0.65,0.02,3.5
0.38,0.03,3.5
0.26,0.04,3.5
0.2,0.05,3.5
0.16,0.06,3.5
0.13,0.07,3.5
0.11,0.08,3.5
0.09,0.09,3.5
0.08,0.1,3.5
1.0,0.01,3.6
0.63,0.02,3.6
0.37,0.03,3.6
0.25,0.04,3.6
0.19,0.05,3.6
0.15,0.06,3.6
0.12,0.07,3.6
0.11,0.08,3.6
0.09,0.09,3.6
0.08,0.1,3.6
1.0,0.01,3.7
0.61,0.02,3.7
0.36,0.03,3.7
0.25,0.04,3.7
0.19,0.05,3.7
0.15,0.06,3.7
0.12,0.07,3.7
0.1,0.08,3.7
0.09,0.09,3.7
0.08,0.1,3.7
1.0,0.01,3.8
0.6,0.02,3.8
0.35,0.03,3.8
0.24,0.04,3.8
0.18,0.05,3.8
0.14,0.06,3.8
0.12,0.07,3.8
0.1,0.08,3.8
0.09,0.09,3.8
0.08,0.1,3.8
1.0,0.01,3.9
0.59,0.02,3.9
0.34,0.03,3.9
0.23,0.04,3.9
0.18,0.05,3.9
0.14,0.06,3.9
0.11,0.07,3.9
0.1,0.08,3.9
0.08,0.09,3.9
0.07,0.1,3.9
1.0,0.01,4.0
0.57,0.02,4.0
0.33,0.03,4.0
0.23,0.04,4.0
0.17,0.05,4.0
0.14,0.06,4.0
0.11,0.07,4.0
0.09,0.08,4.0
0.08,0.09,4.0
0.07,0.1,4.0
1.0,0.01,4.1
0.56,0.02,4.1
0.32,0.03,4.1
0.22,0.04,4.1
0.17,0.05,4.1
0.13,0.06,4.1
0.11,0.07,4.1
0.09,0.08,4.1
0.08,0.09,4.1
0.07,0.1,4.1
1.0,0.01,4.2
0.55,0.02,4.2
0.32,0.03,4.2
0.22,0.04,4.2
0.16,0.05,4.2
