adhesivity,particle_size,weight_coefficient,gamma
0.0,0.01,0.0,9.156801511998965e-05
0.0,0.02,0.0,3.099843838154492e-05
0.0,0.03,0.0,-4.455100869889939e-06
0.0,0.04,0.0,-1.6424237957415237e-05
0.0,0.05,0.0,-8.999411120680617e-06
0.0,0.06,0.0,1.1261485356836684e-05
0.0,0.07,0.0,3.5324661057274014e-05
0.0,0.08,0.0,5.1672207966237766e-05
0.0,0.09,0.0,4.629410332699052e-05
0.0,0.1,0.0,2.680442596600125e-06
0.01,0.01,0.0,0.022763893992791037
0.01,0.02,0.0,0.02280829142015478
0.01,0.03,0.0,0.022869470315110902
0.01,0.04,0.0,0.022947590134819146
0.01,0.05,0.0,0.02304039534251672
0.01,0.06,0.0,0.023143207390712246
0.01,0.07,0.0,0.023248916924679237
0.01,0.08,0.0,0.0233479762119186
0.01,0.09,0.0,0.023428391803356798
0.01,0.1,0.0,0.023475717432144914
0.02,0.01,0.0,0.04421071362077107
0.02,0.02,0.0,0.044353081940670135
0.02,0.03,0.0,0.044504220557223
0.02,0.04,0.0,0.04466601832392934
0.02,0.05,0.0,0.04483799459446207
0.02,0.06,0.0,0.045017291867318794
0.02,0.07,0.0,0.04519866865829198
0.02,0.08,0.0,0.04537449260650736
0.02,0.09,0.0,0.04553473381987889
0.02,0.1,0.0,0.04566695846592706
0.03,0.01,0.0,0.06462239910417031
0.03,0.02,0.0,0.06485591455476435
0.03,0.03,0.0,0.06509056150998738
0.03,0.04,0.0,0.0653298941253469
0.03,0.05,0.0,0.06557514429151284
0.03,0.06,0.0,0.0658252149663452
0.03,0.07,0.0,0.06607667374252359
0.03,0.08,0.0,0.06632374665661082
0.03,0.09,0.0,0.06655831224548225
0.03,0.1,0.0,0.06676989585615259
0.04,0.01,0.0,0.08415839658426072
0.04,0.02,0.0,0.08447643057039035
0.04,0.03,0.0,0.0847883747231644
0.04,0.04,0.0,0.08509938198852085
0.04,0.05,0.0,0.085412332081838
0.04,0.06,0.0,0.08572782553406984
0.04,0.07,0.0,0.08604417798153746
0.04,0.08,0.0,0.08635741470529483
0.04,0.09,0.0,0.08666126542608593
0.04,0.1,0.0,0.08694715936101303
0.05,0.01,0.0,0.10295103882135531
0.05,0.02,0.0,0.10334717813608474
0.05,0.03,0.0,0.10373046488994318
0.05,0.04,0.0,0.1041075818749733
0.05,0.05,0.0,0.10448298954735291
0.05,0.06,0.0,0.1048589208152124
0.05,0.07,0.0,0.1052353760784424
0.05,0.08,0.0,0.10561011852649707
0.05,0.09,0.0,0.10597866970030037
0.05,0.1,0.0,0.10633430532446339
0.06,0.01,0.0,0.12110904959478547
0.06,0.02,0.0,0.12157711403465743
0.06,0.03,0.0,0.12202605902866857
0.06,0.04,0.0,0.12246402582622799
0.06,0.05,0.0,0.12289698615998612
0.06,0.06,0.0,0.1233287378037842
0.06,0.07,0.0,0.12376090039121489
0.06,0.08,0.0,0.12419291150089162
0.06,0.09,0.0,0.12462202301462438
0.06,0.1,0.0,0.12504329775480272
0.07,0.01,0.0,0.1387207496937838
0.07,0.02,0.0,0.13925480707515805
0.07,0.03,0.0,0.13976400727879237
0.07,0.04,0.0,0.14025787617078356
0.07,0.05,0.0,0.1407438249109882
0.07,0.06,0.0,0.14122714631046196
0.07,0.07,0.0,0.14171101145842832
0.07,0.08,0.0,0.14219646662496602
0.07,0.09,0.0,0.14268243044570952
0.07,0.1,0.0,0.14316569139495777
0.08,0.01,0.0,0.15585697514219224
0.08,0.02,0.0,0.15645135374406163
0.08,0.03,0.0,0.15701569599038107
0.08,0.04,0.0,0.15756083606823454
0.08,0.05,0.0,0.15809555033054926
0.08,0.06,0.0,0.1586265544833259
0.08,0.07,0.0,0.1591585010516205
0.08,0.08,0.0,0.15969397713056477
0.08,0.09,0.0,0.1602335024278151
0.08,0.1,0.0,0.1607755276039247
0.09,0.01,0.0,0.17257371900883262
0.09,0.02,0.0,0.17322301748517152
0.09,0.03,0.0,0.1738376844946897
0.09,0.04,0.0,0.1744297837964251
0.09,0.05,0.0,0.17500938032236288
0.09,0.06,0.0,0.17558453822573658
0.09,0.07,0.0,0.17616131921761735
0.09,0.08,0.0,0.17674378119817716
0.09,0.09,0.0,0.17733397718911698
0.09,0.1,0.0,0.17793195457385524
0.1,0.01,0.0,0.18891450879885302
0.1,0.02,0.0,0.18961360362071925
