adhesivity,particle_size,volume_time_400_scaled,efficiency_time_400
0.0,0.01,0.9987569489121365,9.156801511998965e-05
0.0,0.02,0.9985673257681779,3.099843838154492e-05
0.0,0.03,1.000414121095594,-4.455100869889939e-06
0.0,0.04,1.002324344608213,-1.6424237957415237e-05
0.0,0.05,1.0030766893368688,-8.999411120680617e-06
0.0,0.06,1.0022054247729635,1.1261485356836684e-05
0.0,0.07,1.0000042733929952,3.5324661057274014e-05
0.0,0.08,0.9975302698976377,5.1672207966237766e-05
0.0,0.09,0.9966076024875999,4.629410332699052e-05
0.0,0.1,0.999831435486953,2.680442596600125e-06
0.01,0.01,0.9893838770582657,0.022763893992791037
0.01,0.02,0.9776093458736105,0.02280829142015478
0.01,0.03,0.9692123021532244,0.022869470315110902
0.01,0.04,0.9620131425900149,0.022947590134819146
0.01,0.05,0.9545937518094465,0.02304039534251672
0.01,0.06,0.9463015229294771,0.023143207390712246
0.01,0.07,0.9372533627182585,0.023248916924679237
0.01,0.08,0.9283396806942126,0.0233479762119186
0.01,0.09,0.9212283615018286,0.023428391803356798
0.01,0.1,0.9183687198851034,0.023475717432144914
0.02,0.01,0.9807541166036386,0.04421071362077107
0.02,0.02,0.9585720284141552,0.044353081940670135
0.02,0.03,0.9410753697941793,0.044504220557223
0.02,0.04,0.92588087120281,0.04466601832392934
0.02,0.05,0.9113766532767954,0.04483799459446207
0.02,0.06,0.8967263759390349,0.045017291867318794
0.02,0.07,0.8818733733324313,0.04519866865829198
0.02,0.08,0.8675447739348278,0.04537449260650736
0.02,0.09,0.8552556051995982,0.04553473381987889
0.02,0.1,0.8473128820551389,0.04566695846592706
0.03,0.01,0.972656135360733,0.06462239910417031
0.03,0.02,0.9411244860167801,0.06485591455476435
0.03,0.03,0.9155522009053177,0.06509056150998738
0.03,0.04,0.8933553352403223,0.0653298941253469
0.03,0.05,0.8727313357189408,0.06557514429151284
0.03,0.06,0.8526633193311752,0.0658252149663452
0.03,0.07,0.832924339233518,0.06607667374252359
0.03,0.08,0.8140816370534927,0.06632374665661082
0.03,0.09,0.7975008809809985,0.06655831224548225
0.03,0.1,0.7853503889911344,0.06676989585615259
0.04,0.01,0.9649264347585741,0.08415839658426072
0.04,0.02,0.9249934151983256,0.08447643057039035
0.04,0.03,0.8922589721704424,0.0847883747231644
0.04,0.04,0.8639415189336751,0.08509938198852085
0.04,0.05,0.8380509620715041,0.085412332081838
0.04,0.06,0.8133931111770011,0.08572782553406984
0.04,0.07,0.7895740768514892,0.08604417798153746
0.04,0.08,0.7670046563952908,0.08635741470529483
0.04,0.09,0.7469047065578838,0.08666126542608593
0.04,0.1,0.7313075027036811,0.08694715936101303
0.05,0.01,0.9574422835677077,0.10295103882135531
0.05,0.02,0.9099553457169476,0.10334717813608474
0.05,0.03,0.8708709201918755,0.10373046488994318
0.05,0.04,0.837212851755566,0.1041075818749733
0.05,0.05,0.8068066823973794,0.10448298954735291
0.05,0.06,0.7782841930893948,0.1048589208152124
0.05,0.07,0.7510879351179972,0.1052353760784424
0.05,0.08,0.7254757503803362,0.10561011852649707
0.05,0.09,0.7025252800245173,0.10597866970030037
0.05,0.1,0.6841384608013829,0.10633430532446339
0.06,0.01,0.9501151684474209,0.12110904959478547
0.06,0.02,0.895829610927617,0.12157711403465743
0.06,0.03,0.8511148265145946,0.12202605902866857
0.06,0.04,0.8128032027333415,0.12246402582622799
0.06,0.05,0.7785391318730208,0.12289698615998612
0.06,0.06,0.7467836860348852,0.1233287378037842
0.06,0.07,0.7168192830284638,0.12376090039121489
0.06,0.08,0.6887543425172789,0.12419291150089162
0.06,0.09,0.6635279318046012,0.12462202301462438
0.06,0.1,0.6429144006388566,0.12504329775480272
0.07,0.01,0.9428849221540543,0.1387207496937838
0.07,0.02,0.8824720011108793,0.13925480707515805
0.07,0.03,0.8327621906669793,0.13976400727879237
0.07,0.04,0.7903995675445995,0.14025787617078356
