adhesivity_time_400,particle_size,weight_coefficient
1.0,0.01,0.0
1.0,0.02,0.0
1.0,0.03,0.0
1.0,0.04,0.0
1.0,0.05,0.0
1.0,0.06,0.0
1.0,0.07,0.0
1.0,0.08,0.0
1.0,0.09,0.0
1.0,0.1,0.0
1.0,0.01,0.25
1.0,0.02,0.25
0.99,0.03,0.25
0.98,0.04,0.25
0.98,0.05,0.25
0.99,0.06,0.25
1.0,0.07,0.25
1.0,0.08,0.25
1.0,0.09,0.25
1.0,0.1,0.25
1.0,0.01,0.5
0.97,0.02,0.5
0.81,0.03,0.5
0.75,0.04,0.5
0.7,0.05,0.5
0.65,0.06,0.5
0.61,0.07,0.5
0.6,0.08,0.5
0.66,0.09,0.5
0.71,0.1,0.5
0.98,0.01,0.75
0.95,0.02,0.75
0.71,0.03,0.75
0.6,0.04,0.75
0.52,0.05,0.75
0.48,0.06,0.75
0.44,0.07,0.75
0.41,0.08,0.75
0.37,0.09,0.75
0.33,0.1,0.75
0.98,0.01,1.0
0.75,0.02,1.0
0.6,0.03,1.0
0.49,0.04,1.0
0.43,0.05,1.0
0.39,0.06,1.0
0.35,0.07,1.0
0.31,0.08,1.0
0.29,0.09,1.0
0.26,0.1,1.0
0.97,0.01,1.25
0.7,0.02,1.25
0.51,0.03,1.25
0.42,0.04,1.25
0.37,0.05,1.25
0.32,0.06,1.25
0.28,0.07,1.25
0.26,0.08,1.25
0.24,0.09,1.25
0.22,0.1,1.25
0.97,0.01,1.5
0.63,0.02,1.5
0.45,0.03,1.5
0.37,0.04,1.5
0.3,0.05,1.5
0.26,0.06,1.5
0.23,0.07,1.5
0.21,0.08,1.5
0.2,0.09,1.5
0.18,0.1,1.5
0.96,0.01,1.75
0.53,0.02,1.75
0.4,0.03,1.75
0.31,0.04,1.75
0.25,0.05,1.75
0.21,0.06,1.75
0.19,0.07,1.75
0.17,0.08,1.75
0.15,0.09,1.75
0.13,0.1,1.75
0.96,0.01,2.0
0.47,0.02,2.0
0.36,0.03,2.0
0.26,0.04,2.0
0.21,0.05,2.0
0.18,0.06,2.0
0.15,0.07,2.0
0.13,0.08,2.0
0.11,0.09,2.0
0.09,0.1,2.0
0.75,0.01,2.25
0.44,0.02,2.25
0.31,0.03,2.25
0.22,0.04,2.25
0.17,0.05,2.25
0.14,0.06,2.25
0.12,0.07,2.25
0.1,0.08,2.25
0.08,0.09,2.25
0.07,0.1,2.25
0.74,0.01,2.5
0.4,0.02,2.5
0.26,0.03,2.5
0.18,0.04,2.5
0.14,0.05,2.5
0.12,0.06,2.5
0.1,0.07,2.5
0.08,0.08,2.5
0.07,0.09,2.5
0.06,0.1,2.5
0.72,0.01,2.75
0.37,0.02,2.75
0.22,0.03,2.75
0.16,0.04,2.75
0.12,0.05,2.75
0.1,0.06,2.75
0.08,0.07,2.75
0.07,0.08,2.75
0.06,0.09,2.75
0.05,0.1,2.75
0.7,0.01,3.0
0.34,0.02,3.0
0.19,0.03,3.0
0.14,0.04,3.0
0.1,0.05,3.0
0.08,0.06,3.0
0.07,0.07,3.0
0.06,0.08,3.0
0.05,0.09,3.0
0.05,0.1,3.0
0.69,0.01,3.25
0.29,0.02,3.25
0.16,0.03,3.25
0.12,0.04,3.25
0.09,0.05,3.25
0.07,0.06,3.25
0.06,0.07,3.25
0.05,0.08,3.25
0.05,0.09,3.25
0.04,0.1,3.25
0.48,0.01,3.5
0.24,0.02,3.5
0.15,0.03,3.5
0.11,0.04,3.5
0.08,0.05,3.5
0.06,0.06,3.5
0.05,0.07,3.5
0.05,0.08,3.5
0.04,0.09,3.5
0.04,0.1,3.5
0.45,0.01,3.75
0.21,0.02,3.75
0.13,0.03,3.75
0.1,0.04,3.75
0.07,0.05,3.75
0.06,0.06,3.75
0.05,0.07,3.75
0.04,0.08,3.75
0.04,0.09,3.75
0.03,0.1,3.75
0.43,0.01,4.0
0.19,0.02,4.0
0.12,0.03,4.0
0.09,0.04,4.0
0.07,0.05,4.0
0.05,0.06,4.0
0.05,0.07,4.0
0.04,0.08,4.0
0.04,0.09,4.0
0.03,0.1,4.0
0.41,0.01,4.25
0.17,0.02,4.25
0.11,0.03,4.25
0.08,0.04,4.25
0.06,0.05,4.25
0.05,0.06,4.25
0.04,0.07,4.25
0.04,0.08,4.25
0.03,0.09,4.25
0.03,0.1,4.25
0.39,0.01,4.5
0.16,0.02,4.5
0.1,0.03,4.5
0.07,0.04,4.5
0.06,0.05,4.5
0.05,0.06,4.5
0.04,0.07,4.5
0.03,0.08,4.5
0.03,0.09,4.5
0.03,0.1,4.5
0.37,0.01,4.75
0.14,0.02,4.75
0.09,0.03,4.75
0.07,0.04,4.75
0.05,0.05,4.75
0.04,0.06,4.75
0.04,0.07,4.75
0.03,0.08,4.75
0.03,0.09,4.75
0.03,0.1,4.75
0.35,0.01,5.0
0.14,0.02,5.0
0.09,0.03,5.0
0.06,0.04,5.0
0.05,0.05,5.0
0.04,0.06,5.0
0.03,0.07,5.0
0.03,0.08,5.0
0.03,0.09,5.0
0.03,0.1,5.0
0.33,0.01,5.25
0.13,0.02,5.25
0.08,0.03,5.25
0.06,0.04,5.25
0.05,0.05,5.25
0.04,0.06,5.25
0.03,0.07,5.25
0.03,0.08,5.25
0.03,0.09,5.25
0.02,0.1,5.25
0.27,0.01,5.5
0.12,0.02,5.5
0.08,0.03,5.5
0.05,0.04,5.5
0.04,0.05,5.5
0.04,0.06,5.5
0.03,0.07,5.5
0.03,0.08,5.5
0.02,0.09,5.5
0.02,0.1,5.5
0.22,0.01,5.75
0.11,0.02,5.75
0.07,0.03,5.75
0.05,0.04,5.75
0.04,0.05,5.75
0.03,0.06,5.75
0.03,0.07,5.75
0.03,0.08,5.75
0.02,0.09,5.75
0.02,0.1,5.75
0.2,0.01,6.0
0.11,0.02,6.0
0.07,0.03,6.0
0.05,0.04,6.0
0.04,0.05,6.0
0.03,0.06,6.0
0.03,0.07,6.0
0.02,0.08,6.0
0.02,0.09,6.0
0.02,0.1,6.0
0.19,0.01,6.25
0.1,0.02,6.25
0.06,0.03,6.25
0.05,0.04,6.25
0.04,0.05,6.25
0.03,0.06,6.25
0.03,0.07,6.25
0.02,0.08,6.25
0.02,0.09,6.25
0.02,0.1,6.25
0.18,0.01,6.5
0.1,0.02,6.5
0.06,0.03,6.5
0.04,0.04,6.5
0.04,0.05,6.5
0.03,0.06,6.5
0.03,0.07,6.5
0.02,0.08,6.5
0.02,0.09,6.5
0.02,0.1,6.5
0.17,0.01,6.75
0.09,0.02,6.75
0.06,0.03,6.75
0.04,0.04,6.75
0.03,0.05,6.75
0.03,0.06,6.75
0.02,0.07,6.75
0.02,0.08,6.75
0.02,0.09,6.75
0.02,0.1,6.75
0.16,0.01,7.0
0.09,0.02,7.0
0.06,0.03,7.0
0.04,0.04,7.0
0.03,0.05,7.0
0.03,0.06,7.0
0.02,0.07,7.0
0.02,0.08,7.0
0.02,0.09,7.0
0.02,0.1,7.0
0.15,0.01,7.25
0.08,0.02,7.25
0.05,0.03,7.25
0.04,0.04,7.25
0.03,0.05,7.25
0.03,0.06,7.25
0.02,0.07,7.25
0.02,0.08,7.25
0.02,0.09,7.25
0.02,0.1,7.25
0.15,0.01,7.5
0.08,0.02,7.5
0.05,0.03,7.5
0.04,0.04,7.5
0.03,0.05,7.5
0.03,0.06,7.5
0.02,0.07,7.5
0.02,0.08,7.5
0.02,0.09,7.5
0.02,0.1,7.5
0.14,0.01,7.75
0.08,0.02,7.75
0.05,0.03,7.75
0.04,0.04,7.75
0.03,0.05,7.75
0.02,0.06,7.75
0.02,0.07,7.75
0.02,0.08,7.75
0.02,0.09,7.75
0.02,0.1,7.75
0.14,0.01,8.0
0.08,0.02,8.0
0.05,0.03,8.0
0.03,0.04,8.0
0.03,0.05,8.0
0.02,0.06,8.0
0.02,0.07,8.0
0.02,0.08,8.0
0.02,0.09,8.0
0.02,0.1,8.0
0.13,0.01,8.25
0.07,0.02,8.25
0.05,0.03,8.25
0.03,0.04,8.25
0.03,0.05,8.25
0.02,0.06,8.25
0.02,0.07,8.25
0.02,0.08,8.25
0.02,0.09,8.25
0.02,0.1,8.25
0.13,0.01,8.5
0.07,0.02,8.5
0.04,0.03,8.5
0.03,0.04,8.5
0.03,0.05,8.5
0.02,0.06,8.5
0.02,0.07,8.5
0.02,0.08,8.5
0.02,0.09,8.5
0.01,0.1,8.5
0.13,0.01,8.75
0.07,0.02,8.75
0.04,0.03,8.75
0.03,0.04,8.75
0.03,0.05,8.75
0.02,0.06,8.75
0.02,0.07,8.75
0.02,0.08,8.75
0.02,0.09,8.75
0.01,0.1,8.75
0.12,0.01,9.0
0.07,0.02,9.0
0.04,0.03,9.0
0.03,0.04,9.0
0.02,0.05,9.0
0.02,0.06,9.0
0.02,0.07,9.0
0.02,0.08,9.0
0.01,0.09,9.0
0.01,0.1,9.0
0.12,0.01,9.25
0.06,0.02,9.25
0.04,0.03,9.25
0.03,0.04,9.25
0.02,0.05,9.25
0.02,0.06,9.25
0.02,0.07,9.25
0.02,0.08,9.25
0.01,0.09,9.25
0.01,0.1,9.25
0.12,0.01,9.5
0.06,0.02,9.5
0.04,0.03,9.5
0.03,0.04,9.5
0.02,0.05,9.5
0.02,0.06,9.5
0.02,0.07,9.5
0.02,0.08,9.5
0.01,0.09,9.5
0.01,0.1,9.5
0.11,0.01,9.75
0.06,0.02,9.75
0.04,0.03,9.75
0.03,0.04,9.75
0.02,0.05,9.75
0.02,0.06,9.75
0.02,0.07,9.75
0.02,0.08,9.75
0.01,0.09,9.75
0.01,0.1,9.75
0.11,0.01,10.0
0.06,0.02,10.0
0.04,0.03,10.0
0.03,0.04,10.0
0.02,0.05,10.0
0.02,0.06,10.0
0.02,0.07,10.0
0.01,0.08,10.0
0.01,0.09,10.0
0.01,0.1,10.0
0.11,0.01,10.25
0.06,0.02,10.25
0.04,0.03,10.25
0.03,0.04,10.25
0.02,0.05,10.25
0.02,0.06,10.25
0.02,0.07,10.25
0.01,0.08,10.25
0.01,0.09,10.25
0.01,0.1,10.25
0.11,0.01,10.5
0.05,0.02,10.5
0.03,0.03,10.5
0.03,0.04,10.5
0.02,0.05,10.5
