adhesivity,particle_size,weight_coefficient,gamma
0.0,0.02,0.0,3.099843838154492e-05
0.0,0.04,0.0,-1.6424237957415237e-05
0.0,0.06,0.0,1.1261485356836684e-05
0.0,0.08,0.0,5.1672207966237766e-05
0.0,0.1,0.0,2.680442596600125e-06
0.01,0.02,0.0,0.02280829142015478
0.01,0.04,0.0,0.022947590134819146
0.01,0.06,0.0,0.023143207390712246
0.01,0.08,0.0,0.0233479762119186
0.01,0.1,0.0,0.023475717432144914
0.02,0.02,0.0,0.044353081940670135
0.02,0.04,0.0,0.04466601832392934
0.02,0.06,0.0,0.045017291867318794
0.02,0.08,0.0,0.04537449260650736
0.02,0.1,0.0,0.04566695846592706
0.03,0.02,0.0,0.06485591455476435
0.03,0.04,0.0,0.0653298941253469
0.03,0.06,0.0,0.0658252149663452
0.03,0.08,0.0,0.06632374665661082
0.03,0.1,0.0,0.06676989585615259
0.04,0.02,0.0,0.08447643057039035
0.04,0.04,0.0,0.08509938198852085
0.04,0.06,0.0,0.08572782553406984
0.04,0.08,0.0,0.08635741470529483
0.04,0.1,0.0,0.08694715936101303
0.05,0.02,0.0,0.10334717813608474
0.05,0.04,0.0,0.1041075818749733
0.05,0.06,0.0,0.1048589208152124
0.05,0.08,0.0,0.10561011852649707
0.05,0.1,0.0,0.10633430532446339
0.06,0.02,0.0,0.12157711403465743
0.06,0.04,0.0,0.12246402582622799
0.06,0.06,0.0,0.1233287378037842
0.06,0.08,0.0,0.12419291150089162
0.06,0.1,0.0,0.12504329775480272
0.07,0.02,0.0,0.13925480707515805
0.07,0.04,0.0,0.14025787617078356
0.07,0.06,0.0,0.14122714631046196
0.07,0.08,0.0,0.14219646662496602
0.07,0.1,0.0,0.14316569139495777
0.08,0.02,0.0,0.15645135374406163
0.08,0.04,0.0,0.15756083606823454
0.08,0.06,0.0,0.1586265544833259
0.08,0.08,0.0,0.15969397713056477
0.08,0.1,0.0,0.1607755276039247
0.09,0.02,0.0,0.17322301748517152
0.09,0.04,0.0,0.1744297837964251
0.09,0.06,0.0,0.17558453822573658
0.09,0.08,0.0,0.17674378119817716
0.09,0.1,0.0,0.17793195457385524
0.1,0.02,0.0,0.18961360362071925
0.1,0.04,0.0,0.1909091428294491
0.1,0.06,0.0,0.19214620659591297
0.1,0.08,0.0,0.19339172288679274
0.1,0.1,0.0,0.1946815840455016
0.11,0.02,0.0,0.20565658249868385
0.11,0.04,0.0,0.20703300032550442
0.11,0.06,0.0,0.20834631584252278
0.11,0.08,0.0,0.20967326197135527
0.11,0.1,0.0,0.2110605972512835
0.12,0.02,0.0,0.22137697394899972
0.12,0.04,0.0,0.22282698713963645
0.12,0.06,0.0,0.22421114522487093
0.12,0.08,0.0,0.22561534587124235
0.12,0.1,0.0,0.2270966133056361
0.13,0.02,0.0,0.2367930065501231
0.13,0.04,0.0,0.23830993289328478
0.13,0.06,0.0,0.23976014818110558
0.13,0.08,0.0,0.2412380572658424
0.13,0.1,0.0,0.24281033367260746
0.14,0.02,0.0,0.25191756554395683
0.14,0.04,0.0,0.25349530996689507
0.14,0.06,0.0,0.2550073927398523
0.14,0.08,0.0,0.2565560513227772
0.14,0.1,0.0,0.25821697666746696
0.15,0.02,0.0,0.2667594434885936
0.15,0.04,0.0,0.26839248053084475
0.15,0.06,0.0,0.26996280531704264
0.15,0.08,0.0,0.2715797967078546
0.15,0.1,0.0,0.2733275161896223
0.16,0.02,0.0,0.2813244079025324
0.16,0.04,0.0,0.283007760891415
0.16,0.06,0.0,0.2846332321982618
0.16,0.08,0.0,0.2863166347012738
0.16,0.1,0.0,0.288149739036234
0.17,0.02,0.0,0.29561610022950296
0.17,0.04,0.0,0.29734531750104864
0.17,0.06,0.0,0.2990233330762667
0.17,0.08,0.0,0.3007716708105126
0.17,0.1,0.0,0.3026891352081939
0.18,0.02,0.0,0.30963678043904364
0.18,0.04,0.0,0.3114079089649499
0.18,0.06,0.0,0.3131363209927117
0.18,0.08,0.0,0.31494851324605694
0.18,0.1,0.0,0.3169496355919201
0.19,0.02,0.0,0.32338793147453515
0.19,0.04,0.0,0.3251974882692509
0.19,0.06,0.0,0.3269745629226273
0.19,0.08,0.0,0.3288498725116843
0.19,0.1,0.0,0.33093421128176936
0.2,0.02,0.0,0.3368707375683364
0.2,0.04,0.0,0.33871567926032237
0.2,0.06,0.0,0.34054005504070045
0.2,0.08,0.0,0.34247803615739086
0.2,0.1,0.0,0.3446453485997816
0.21,0.02,0.0,0.35008645016461326
0.21,0.04,0.0,0.35196414112203295
0.21,0.06,0.0,0.35383478642159183
0.21,0.08,0.0,0.3558352324518783
0.21,0.1,0.0,0.3580854135736324
0.22,0.02,0.0,0.3630366548268754
0.22,0.04,0.0,0.36494483423032525
0.22,0.06,0.0,0.3668610045549179
0.22,0.08,0.0,0.3689238963554059
0.22,0.1,0.0,0.3712569192526799
0.23,0.02,0.0,0.37572345206240637
0.23,0.04,0.0,0.37766020031571235
0.23,0.06,0.0,0.37962139560249253
0.23,0.08,0.0,0.3817468507161355
0.23,0.1,0.0,0.38416270877930614
0.24,0.02,0.0,0.38814956447385346
0.24,0.04,0.0,0.39011326933838797
0.24,0.06,0.0,0.39211919179514626
0.24,0.08,0.0,0.3943074150780955
0.24,0.1,0.0,0.3968060665926116
0.25,0.02,0.0,0.4003183820541115
0.25,0.04,0.0,0.4023077048825172
0.25,0.06,0.0,0.4043582177639487
0.25,0.08,0.0,0.40660945388161557
0.25,0.1,0.0,0.4091907695290444
0.26,0.02,0.0,0.412233956780072
0.26,0.04,0.0,0.41424779921172955
0.26,0.06,0.0,0.41634288693174887
0.26,0.08,0.0,0.41865737516338847
0.26,0.1,0.0,0.4213210889056162
0.27,0.02,0.0,0.4239009569402555
0.27,0.04,0.0,0.42593842840340207
0.27,0.06,0.0,0.42807815836220103
0.27,0.08,0.0,0.430456090129827
0.27,0.1,0.0,0.4332017539326561
0.28,0.02,0.0,0.43532459085801856
0.28,0.04,0.0,0.43738497720220365
0.28,0.06,0.0,0.43956946368214345
0.28,0.08,0.0,0.44201094319142636
0.28,0.1,0.0,0.444837886011955
0.29,0.02,0.0,0.4465105088537932
0.29,0.04,0.0,0.4485932424115367
0.29,0.06,0.0,0.4508226128672997
0.29,0.08,0.0,0.45332762121544035
0.29,0.1,0.0,0.45623491264073207
0.3,0.02,0.0,0.4574646914351198
0.3,0.04,0.0,0.4595693227834114
0.3,0.06,0.0,0.46184368681934995
0.3,0.08,0.0,0.4644120498879356
0.3,0.1,0.0,0.46739846877076924
0.31,0.02,0.0,0.46819333082108217
0.31,0.04,0.0,0.4703195024820085
0.31,0.06,0.0,0.4726389237735459
0.31,0.08,0.0,0.47527028418333744
0.31,0.1,0.0,0.4783342925745156
0.32,0.02,0.0,0.47870271200758346
0.32,0.04,0.0,0.48085013429317225
0.32,0.06,0.0,0.4832146056697604
0.32,0.08,0.0,0.48590839902953786
0.32,0.1,0.0,0.4890481216555837
0.33,0.02,0.0,0.48899909867146635
0.33,0.04,0.0,0.4911675278411975
0.33,0.06,0.0,0.4935769497060573
0.33,0.08,0.0,0.49633238533940993
0.33,0.1,0.0,0.4995455948198957
0.34,0.02,0.0,0.4990886283049175
0.34,0.04,0.0,0.5012778471655926
0.34,0.06,0.0,0.5037320093826799
0.34,0.08,0.0,0.5065480556653843
0.34,0.1,0.0,0.5098321636059542
0.35,0.02,0.0,0.5089772200769319
0.35,0.04,0.0,0.5111870211142732
0.35,0.06,0.0,0.5136855884460748
0.35,0.08,0.0,0.5165609628328994
0.35,0.1,0.0,0.5199130168688192
0.36,0.02,0.0,0.5186704980462692
0.36,0.04,0.0,0.5209006691360984
0.36,0.06,0.0,0.5234431702674629
0.36,0.08,0.0,0.5263763340314312
0.36,0.1,0.0,0.52979302083263
0.37,0.02,0.0,0.5281737315102244
0.37,0.04,0.0,0.5304240442149896
0.37,0.06,0.0,0.5330098643487962
0.37,0.08,0.0,0.5359990219986275
0.37,0.1,0.0,0.5394766761813705
0.38,0.02,0.0,0.5374917934756743
0.38,0.04,0.0,0.53976199388993
0.38,0.06,0.0,0.5423903708505671
0.38,0.08,0.0,0.5454334741338785
0.38,0.1,0.0,0.5489680929569707
0.39,0.02,0.0,0.5466291374927322
0.39,0.04,0.0,0.5489189395595553
0.39,0.06,0.0,0.5515889632905845
0.39,0.08,0.0,0.5546837196320361
0.39,0.1,0.0,0.5582709832875284
0.4,0.02,0.0,0.555589792405919
0.4,0.04,0.0,0.5578988735858161
