adhesivity_time_400,particle_size,weight_coefficient
0.91,0.02,0.0
0.92,0.02,0.0
0.93,0.02,0.0
0.94,0.02,0.0
0.95,0.02,0.0
0.96,0.02,0.0
0.97,0.02,0.0
0.98,0.02,0.0
0.99,0.02,0.0
1.0,0.02,0.0
0.91,0.04,0.0
0.92,0.04,0.0
0.93,0.04,0.0
0.94,0.04,0.0
0.95,0.04,0.0
0.96,0.04,0.0
0.97,0.04,0.0
0.98,0.04,0.0
0.99,0.04,0.0
1.0,0.04,0.0
0.91,0.06,0.0
0.92,0.06,0.0
0.93,0.06,0.0
0.94,0.06,0.0
0.95,0.06,0.0
0.96,0.06,0.0
0.97,0.06,0.0
0.98,0.06,0.0
0.99,0.06,0.0
1.0,0.06,0.0
0.91,0.08,0.0
0.92,0.08,0.0
0.93,0.08,0.0
0.94,0.08,0.0
0.95,0.08,0.0
0.96,0.08,0.0
0.97,0.08,0.0
0.98,0.08,0.0
0.99,0.08,0.0
1.0,0.08,0.0
0.91,0.1,0.0
0.92,0.1,0.0
0.93,0.1,0.0
0.94,0.1,0.0
0.95,0.1,0.0
0.96,0.1,0.0
0.97,0.1,0.0
0.98,0.1,0.0
0.99,0.1,0.0
1.0,0.1,0.0
0.91,0.02,0.25
0.92,0.02,0.25
0.93,0.02,0.25
0.94,0.02,0.25
0.95,0.02,0.25
0.96,0.02,0.25
0.97,0.02,0.25
0.98,0.02,0.25
0.99,0.02,0.25
1.0,0.02,0.25
0.91,0.04,0.25
0.92,0.04,0.25
0.93,0.04,0.25
0.94,0.04,0.25
0.95,0.04,0.25
0.96,0.04,0.25
0.97,0.04,0.25
0.98,0.04,0.25
0.99,0.04,0.25
1.0,0.04,0.25
0.91,0.06,0.25
0.92,0.06,0.25
0.93,0.06,0.25
0.94,0.06,0.25
0.95,0.06,0.25
0.96,0.06,0.25
0.97,0.06,0.25
0.98,0.06,0.25
0.99,0.06,0.25
1.0,0.06,0.25
0.91,0.08,0.25
0.92,0.08,0.25
0.93,0.08,0.25
0.94,0.08,0.25
0.95,0.08,0.25
0.96,0.08,0.25
0.97,0.08,0.25
0.98,0.08,0.25
0.99,0.08,0.25
1.0,0.08,0.25
0.91,0.1,0.25
0.92,0.1,0.25
0.93,0.1,0.25
