adhesivity,particle_size,weight_coefficient,gamma
0.1,0.01,0.0,0.18874509498820655
0.2,0.01,0.0,0.3359595622258922
0.3,0.01,0.0,0.4562572461379629
0.4,0.01,0.0,0.5546076790821602
0.5,0.01,0.0,0.6350503835914213
0.6,0.01,0.0,0.7008724230405263
0.7,0.01,0.0,0.754751216732565
0.8,0.01,0.0,0.7988690418846632
0.9,0.01,0.0,0.835006028172328
1.0,0.01,0.0,0.8646151168673579
0.1,0.02,0.0,0.18937481687757338
0.2,0.02,0.0,0.3369035351264104
0.3,0.02,0.0,0.45733119423828683
0.4,0.02,0.0,0.5557086323165746
0.5,0.02,0.0,0.6361247509513999
0.6,0.02,0.0,0.7018951470017989
0.7,0.02,0.0,0.7557133855143053
0.8,0.02,0.0,0.7997705327598604
0.9,0.02,0.0,0.8358511219828629
1.0,0.02,0.0,0.8654095298144691
0.1,0.03,0.0,0.19000473846661342
0.2,0.03,0.0,0.33785170145097937
0.3,0.03,0.0,0.4584206106231459
0.4,0.03,0.0,0.5568440936775964
0.5,0.03,0.0,0.6372600190294335
0.6,0.03,0.0,0.7030114541403611
0.7,0.03,0.0,0.7568054881582943
0.8,0.03,0.0,0.800887937912688
0.9,0.03,0.0,0.837042269335983
1.0,0.03,0.0,0.8665974169903038
0.1,0.04,0.0,0.19063520777847773
0.2,0.04,0.0,0.3388046829933161
0.3,0.04,0.0,0.45952530140493086
0.4,0.04,0.0,0.558014656327906
0.5,0.04,0.0,0.6384581573785197
0.6,0.04,0.0,0.7042243466575466
0.7,0.04,0.0,0.758273060748716
0.8,0.04,0.0,0.8023942943618166
0.9,0.04,0.0,0.8384209706885963
1.0,0.04,0.0,0.8678474881340211
0.1,0.05,0.0,0.1912668461069682
0.2,0.05,0.0,0.3397619677693701
0.3,0.05,0.0,0.4606459171165664
0.4,0.05,0.0,0.5592211036461764
0.5,0.05,0.0,0.6397746310693402
0.6,0.05,0.0,0.70594407218918
0.7,0.05,0.0,0.7598976377962828
0.8,0.05,0.0,0.8039015046951365
0.9,0.05,0.0,0.8398025918387084
1.0,0.05,0.0,0.8690999560718257
0.1,0.06,0.0,0.19189773096868434
0.2,0.06,0.0,0.3407238835975316
0.3,0.06,0.0,0.46178319731128864
0.4,0.06,0.0,0.5604638893464151
0.5,0.06,0.0,0.6415550260704604
0.6,0.06,0.0,0.7076677778829498
0.7,0.06,0.0,0.7615238694067746
0.8,0.06,0.0,0.8054122765247872
0.9,0.06,0.0,0.8411870811171378
1.0,0.06,0.0,0.8703538072908386
0.1,0.07,0.0,0.19252981296542002
0.2,0.07,0.0,0.3416906704550045
0.3,0.07,0.0,0.4629358024203812
0.4,0.07,0.0,0.5621467385302379
0.5,0.07,0.0,0.6433378947331997
0.6,0.07,0.0,0.7093903000834051
0.7,0.07,0.0,0.7631532277509142
0.8,0.07,0.0,0.8069255153805318
0.9,0.07,0.0,0.8425729334014707
1.0,0.07,0.0,0.8716128098994396
0.1,0.08,0.0,0.1931621527426462
0.2,0.08,0.0,0.34266150611904167
0.3,0.08,0.0,0.46410448576073793
0.4,0.08,0.0,0.563927504642683
0.5,0.08,0.0,0.6451202713738297
0.6,0.08,0.0,0.7111167762337433
0.7,0.08,0.0,0.764785890014974
0.8,0.08,0.0,0.8084424563350022
0.9,0.08,0.0,0.8439646349532575
1.0,0.08,0.0,0.8728728364917973
0.1,0.09,0.0,0.19379452316614285
0.2,0.09,0.0,0.3436380760876833
0.3,0.09,0.0,0.4656556088352911
0.4,0.09,0.0,0.5657094724610232
0.5,0.09,0.0,0.6469057934963589
0.6,0.09,0.0,0.7128451820421337
0.7,0.09,0.0,0.7664184940179894
0.8,0.09,0.0,0.8099620019161586
0.9,0.09,0.0,0.845355088696153
1.0,0.09,0.0,0.8741357771700036
