adhesivity,particle_size,weight_coefficient,gamma
0.2,0.01,0.0,0.3310337220520253
0.8,0.04,0.0,0.8023942943618166
0.3,0.04,0.0,0.45724607757035984
0.9,0.01,0.0,0.8342619224871868
0.3,0.05,0.0,0.4589269894075275
0.8,0.05,0.0,0.8039015046951365
0.2,0.02,0.0,0.33215012849305847
0.8,0.07,0.0,0.8069255153805318
0.3,0.07,0.0,0.46228888461797113
0.9,0.02,0.0,0.8356620219556308
1.0,0.09,0.0,0.8741357771700036
0.9,0.03,0.0,0.837042269335983
0.3,0.06,0.0,0.46060770930535566
0.8,0.06,0.0,0.8054122765247872
0.2,0.03,0.0,0.3336111923411086
1.0,0.08,0.0,0.8728728364917973
0.1,0.09,0.0,0.18954554317174244
0.3,0.03,0.0,0.4555662967904852
0.9,0.06,0.0,0.8411870811171378
0.7,0.1,0.0,0.7680560539435007
0.2,0.06,0.0,0.3379094498151486
0.8,0.03,0.0,0.800887937912688
0.1,0.08,0.0,0.18861330636081863
0.8,0.02,0.0,0.799380374310076
0.1,0.1,0.0,0.19047932231670728
0.2,0.07,0.0,0.33934245654441
0.9,0.07,0.0,0.8425729334014707
0.3,0.02,0.0,0.4538714586703516
0.9,0.05,0.0,0.8398025918387084
0.2,0.05,0.0,0.3364782225601871
0.8,0.01,0.0,0.7978490597980784
0.2,0.04,0.0,0.33504685394433054
0.9,0.04,0.0,0.8384209706885963
0.3,0.01,0.0,0.4522515710492241
1.0,0.04,0.0,0.8678474881340211
0.1,0.01,0.0,0.18271786240070353
1.0,0.05,0.0,0.8690999560718257
1.0,0.07,0.0,0.8716128098994396
0.1,0.03,0.0,0.18398487114548256
0.8,0.09,0.0,0.8099620019161586
0.3,0.09,0.0,0.4656556088352911
0.1,0.02,0.0,0.18335013302116243
1.0,0.06,0.0,0.8703538072908386
0.3,0.08,0.0,0.4639714811440807
0.8,0.08,0.0,0.8084424563350022
0.6,0.1,0.0,0.7145754974438763
0.9,0.08,0.0,0.8439646349532575
0.2,0.08,0.0,0.3407736150997235
1.0,0.03,0.0,0.8665974169903038
0.1,0.07,0.0,0.18768299347374007
0.2,0.09,0.0,0.34220604496144413
0.9,0.09,0.0,0.845355088696153
0.1,0.06,0.0,0.18675059245605385
1.0,0.02,0.0,0.8653476716518544
0.1,0.04,0.0,0.18487242044179308
0.1,0.05,0.0,0.18581814661785234
1.0,0.01,0.0,0.8640807472455214
0.5,0.06,0.0,0.6415550260704604
0.4,0.03,0.0,0.5550359225918984
0.6,0.09,0.0,0.7128451820421337
0.4,0.02,0.0,0.5532511640025618
0.5,0.07,0.0,0.6433378947331997
0.6,0.08,0.0,0.7111167762337433
0.5,0.05,0.0,0.6397746310693402
0.4,0.01,0.0,0.5514211100270676
0.5,0.04,0.0,0.6379959465949008
0.3,0.1,0.0,0.46733979224722255
0.4,0.04,0.0,0.5568125062457905
0.5,0.01,0.0,0.6326141369265622
0.4,0.05,0.0,0.558588608717349
0.5,0.1,0.0,0.6486926390085266
0.7,0.08,0.0,0.764785890014974
0.4,0.07,0.0,0.5621467385302379
0.5,0.02,0.0,0.6344363575410285
0.9,0.1,0.0,0.8467504687983013
0.7,0.09,0.0,0.7664184940179894
0.5,0.03,0.0,0.6362188894874024
0.4,0.06,0.0,0.5603672342693667
0.7,0.02,0.0,0.755025308529112
1.0,0.1,0.0,0.8754030344896051
0.6,0.07,0.0,0.7093903000834051
0.5,0.08,0.0,0.6451202713738297
0.6,0.06,0.0,0.7076677778829498
0.7,0.03,0.0,0.7566501903103104
0.5,0.09,0.0,0.6469057934963589
0.7,0.01,0.0,0.7533714364188235
0.6,0.04,0.0,0.7042243466575466
0.6,0.05,0.0,0.70594407218918
0.7,0.05,0.0,0.7598976377962828
0.2,0.1,0.0,0.3436395064044022
0.4,0.1,0.0,0.5674916081303951
0.7,0.04,0.0,0.758273060748716
0.6,0.01,0.0,0.6990287839423707
0.4,0.09,0.0,0.5657094724610232
0.6,0.03,0.0,0.7025073191151464
0.8,0.1,0.0,0.8114810466663523
0.7,0.06,0.0,0.7615238694067746
0.4,0.08,0.0,0.563927504642683
0.7,0.07,0.0,0.7631532277509142
0.6,0.02,0.0,0.7007846939952955
0.2,0.01,0.25,1.9998813906069366
0.8,0.04,0.25,2.6284074118220033
0.3,0.04,0.25,1.8671301034961183
0.9,0.01,0.25,3.7839233048148673
0.3,0.05,0.25,1.7721990587882457
0.8,0.05,0.25,2.4900478964793398
0.2,0.02,0.25,1.7698040006771305
0.8,0.07,0.25,2.2968079427891044
0.3,0.07,0.25,1.6410336268430754
0.9,0.02,0.25,3.170029882520906
1.0,0.09,0.25,2.2165121683978795
0.9,0.03,0.25,2.867522768088769
0.3,0.06,0.25,1.6993705492012339
0.8,0.06,0.25,2.383069145836783
0.2,0.03,0.25,1.6017669177598048
1.0,0.08,0.25,2.280051891174157
0.1,0.09,0.25,0.8089690928924165
0.3,0.03,0.25,1.9990951555561605
0.9,0.06,0.25,2.4215380666452972
0.7,0.1,0.25,2.0611901641612067
0.2,0.06,0.25,1.3638743644774631
0.8,0.03,0.25,2.8197565273397824
0.1,0.08,0.25,0.8290610833258484
0.8,0.02,0.25,3.1164548708736555
0.1,0.1,0.25,0.7917766730284684
0.2,0.07,0.25,1.317815432828672
0.9,0.07,0.25,2.3333423198705137
0.3,0.02,0.25,2.20684134059857
0.9,0.05,0.25,2.5309136440392317
0.2,0.05,0.25,1.421440089184217
0.8,0.01,0.25,3.7202386933746783
0.2,0.04,0.25,1.4966172642958704
0.9,0.04,0.25,2.67234464533154
0.3,0.01,0.25,2.595710284685593
1.0,0.04,0.25,2.698686873164089
0.1,0.01,0.25,1.1878447849641591
1.0,0.05,0.25,2.5552611143342805
1.0,0.07,0.25,2.3546502235460163
0.1,0.03,0.25,1.0307136359187996
0.8,0.09,0.25,2.1640593963391597
0.3,0.09,0.25,1.552136167097879
0.1,0.02,0.25,1.0946394546649214
1.0,0.06,0.25,2.444380140474607
0.3,0.08,0.25,1.5928458169438853
0.8,0.08,0.25,2.225057453035029
0.6,0.1,0.25,1.98666424001646
0.9,0.08,0.25,2.2598075529523176
0.2,0.08,0.25,1.2799299487245643
1.0,0.03,0.25,2.896576960890297
0.1,0.07,0.25,0.8529331396643453
0.2,0.09,0.25,1.247988277692432
0.9,0.09,0.25,2.1974117274328813
0.1,0.06,0.25,0.8820634180721907
1.0,0.02,0.25,3.202691778838424
0.1,0.04,0.25,0.9673013894306393
0.1,0.05,0.25,0.9186240431075352
1.0,0.01,0.25,3.8226449433112744
0.5,0.06,0.25,2.1130395190990248
0.4,0.03,0.25,2.2855583730389033
0.6,0.09,0.25,2.035051502101329
0.4,0.02,0.25,2.523222872918697
0.5,0.07,0.25,2.0385347787384585
0.6,0.08,0.25,2.0910999819301908
0.5,0.05,0.25,2.205703105374657
0.4,0.01,0.25,3.0174698704348244
0.5,0.04,0.25,2.3260329639197233
0.3,0.1,0.25,1.5171710677532222
0.4,0.04,0.25,2.1335424593228156
0.5,0.01,0.25,3.2890245670916323
0.4,0.05,0.25,2.0241199152861427
0.5,0.1,0.25,1.8795360629260418
0.7,0.08,0.25,2.1709273237894777
0.4,0.07,0.25,1.8723476156309942
0.5,0.02,0.25,2.75273235678421
0.9,0.1,0.25,2.143286370414688
0.7,0.09,0.25,2.1121111164931596
0.5,0.03,0.25,2.492814929412157
0.4,0.06,0.25,1.9399122634455181
0.7,0.02,0.25,3.0353460829314205
1.0,0.1,0.25,2.161379972201298
0.6,0.07,0.25,2.1571682589393624
0.5,0.08,0.25,1.9768875219066457
0.6,0.06,0.25,2.2367245622988268
0.7,0.03,0.25,2.747149415667978
0.5,0.09,0.25,1.9246065053811363
0.7,0.01,0.25,3.624156945945412
0.6,0.04,0.25,2.464099385994101
0.6,0.05,0.25,2.3357715656000435
0.7,0.05,0.25,2.4272924854008995
0.2,0.1,0.25,1.220594160137829
0.4,0.1,0.25,1.7284924468475058
0.7,0.04,0.25,2.5614958294733206
0.6,0.01,0.25,3.4850035003374855
0.4,0.09,0.25,1.769175984130588
0.6,0.03,0.25,2.6416493730078403
0.8,0.1,0.25,2.111386131867299
0.7,0.06,0.25,2.323741335958836
0.4,0.08,0.25,1.8164587578272304
0.7,0.07,0.25,2.2402746433594682
0.6,0.02,0.25,2.9180601130007773
0.2,0.01,0.5,12.081927942879995
0.8,0.04,0.5,8.609888643357724
0.3,0.04,0.5,7.624285902911832
0.9,0.01,0.5,17.162566324535774
0.3,0.05,0.5,6.843549358525544
0.8,0.05,0.5,7.712808709211881
0.2,0.02,0.5,9.430091793200182
0.8,0.07,0.5,6.537563412617294
0.3,0.07,0.5,5.82534310046236
0.9,0.02,0.5,12.025303522300145
1.0,0.09,0.5,5.620323891285364
0.9,0.03,0.5,9.823502500095305
0.3,0.06,0.5,6.269674182934751
0.8,0.06,0.5,7.051070264713652
0.2,0.03,0.5,7.690561101458578
1.0,0.08,0.5,5.955777759496935
0.1,0.09,0.5,3.4526319232007245
0.3,0.03,0.5,8.77233778952275
0.9,0.06,0.5,6.970918526738153
0.7,0.1,0.5,5.531503685208147
0.2,0.06,0.5,5.5048868360928935
0.8,0.03,0.5,9.927764543685914
0.1,0.08,0.5,3.644187640560939
0.8,0.02,0.5,12.149774092933608
0.1,0.1,0.5,3.2912249598918417
0.2,0.07,0.5,5.117654692212512
0.9,0.07,0.5,6.461738997144488
0.3,0.02,0.5,10.730237844966805
0.9,0.05,0.5,7.627416175936475
0.2,0.05,0.5,6.004822278739368
0.8,0.01,0.5,17.346859992772117
0.2,0.04,0.5,6.685223900537261
0.9,0.04,0.5,8.517709066326061
0.3,0.01,0.5,14.898150306899021
1.0,0.04,0.5,8.391924778220334
0.1,0.01,0.5,7.72215269283446
1.0,0.05,0.5,7.512782985216558
1.0,0.07,0.5,6.361055748922476
0.1,0.03,0.5,5.774228025677733
0.8,0.09,0.5,5.78194169578905
0.3,0.09,0.5,5.1736232432356175
0.1,0.02,0.5,6.535231341069246
1.0,0.06,0.5,6.865017675679621
0.3,0.08,0.5,5.468348593968321
0.8,0.08,0.5,6.123974106643387
0.6,0.1,0.5,5.523327929209004
0.9,0.08,0.5,6.050881713382664
0.2,0.08,0.5,4.807357732677336
1.0,0.03,0.5,9.681725246192773
0.1,0.07,0.5,3.876189990754096
0.2,0.09,0.5,4.551277700056998
0.9,0.09,0.5,5.711940892562742
0.1,0.06,0.5,4.166176199330044
1.0,0.02,0.5,11.853310485783462
0.1,0.04,0.5,5.061176652301368
0.1,0.05,0.5,4.541376329141367
1.0,0.01,0.5,16.911167630114086
0.5,0.06,0.5,6.95955269280965
0.4,0.03,0.5,9.411601779168315
0.6,0.09,0.5,5.8097251977500095
0.4,0.02,0.5,11.507709482904229
0.5,0.07,0.5,6.459473440235704
0.6,0.08,0.5,6.149059170826177
0.5,0.05,0.5,7.604437489069669
0.4,0.01,0.5,16.512107087331156
0.5,0.04,0.5,8.480350663852345
0.3,0.1,0.5,4.9253414475131985
0.4,0.04,0.5,8.175109888289551
0.5,0.01,0.5,17.099969746942413
0.4,0.05,0.5,7.334666993775256
0.5,0.1,0.5,5.445808383518734
0.7,0.08,0.5,6.162411606578498
0.4,0.07,0.5,6.236246434382718
0.5,0.02,0.5,11.943728221150565
0.9,0.1,0.5,5.425065157772703
0.7,0.09,0.5,5.8205972366701175
0.5,0.03,0.5,9.767277229550386
0.4,0.06,0.5,6.715702417492395
0.7,0.02,0.5,12.202671538409595
1.0,0.1,0.5,5.33647154531123
0.6,0.07,0.5,6.559682162031774
0.5,0.08,0.5,6.057915783591257
0.6,0.06,0.5,7.06961221628262
0.7,0.03,0.5,9.974001207757413
0.5,0.09,0.5,5.725888124352126
0.7,0.01,0.5,17.434313187236995
0.6,0.04,0.5,8.62194812331463
0.6,0.05,0.5,7.728415070823933
0.7,0.05,0.5,7.753345341051271
0.2,0.1,0.5,4.335502979128613
0.4,0.1,0.5,5.264723030269697
0.7,0.04,0.5,8.65289989061546
0.6,0.01,0.5,17.374462506204612
0.4,0.09,0.5,5.532846478967324
0.6,0.03,0.5,9.933435880358305
0.8,0.1,0.5,5.493598915409396
0.7,0.06,0.5,7.090747924487473
0.4,0.08,0.5,5.8509691258593515
0.7,0.07,0.5,6.576438774255555
0.6,0.02,0.5,12.15077169357137
0.2,0.01,0.75,72.99082010690825
0.8,0.04,0.75,28.203459675847416
0.3,0.04,0.75,31.13320031662215
0.9,0.01,0.75,77.84346011170032
0.3,0.05,0.75,26.427148570205535
0.8,0.05,0.75,23.8900698532761
0.2,0.02,0.75,50.24659860309838
0.8,0.07,0.75,18.608319214575566
0.3,0.07,0.75,20.678809795863764
0.9,0.02,0.75,45.61721187575922
1.0,0.09,0.75,14.25123718846319
0.9,0.03,0.75,33.65315959939096
0.3,0.06,0.75,23.13139672723828
0.8,0.06,0.75,20.8628406627586
0.2,0.03,0.75,36.9246794895641
1.0,0.08,0.75,15.55722870072562
0.1,0.09,0.75,14.735627481741194
0.3,0.03,0.75,38.4943708555383
0.9,0.06,0.75,20.067289371065307
0.7,0.1,0.75,14.844594910010578
0.2,0.06,0.75,22.218893372777057
0.8,0.03,0.75,34.953552861477455
