adhesivity_time_400,particle_size,weight_coefficient
1.0,0.01,0.0
1.0,0.02,0.0
1.0,0.03,0.0
1.0,0.04,0.0
1.0,0.05,0.0
1.0,0.06,0.0
1.0,0.07,0.0
1.0,0.08,0.0
1.0,0.09,0.0
1.0,0.1,0.0
1.0,0.01,0.05
1.0,0.02,0.05
1.0,0.03,0.05
1.0,0.04,0.05
1.0,0.05,0.05
1.0,0.06,0.05
1.0,0.07,0.05
1.0,0.08,0.05
1.0,0.09,0.05
1.0,0.1,0.05
1.0,0.01,0.1
1.0,0.02,0.1
1.0,0.03,0.1
1.0,0.04,0.1
1.0,0.05,0.1
1.0,0.06,0.1
1.0,0.07,0.1
1.0,0.08,0.1
1.0,0.09,0.1
1.0,0.1,0.1
1.0,0.01,0.15
1.0,0.02,0.15
1.0,0.03,0.15
1.0,0.04,0.15
1.0,0.05,0.15
1.0,0.06,0.15
1.0,0.07,0.15
1.0,0.08,0.15
1.0,0.09,0.15
1.0,0.1,0.15
1.0,0.01,0.2
1.0,0.02,0.2
1.0,0.03,0.2
1.0,0.04,0.2
1.0,0.05,0.2
1.0,0.06,0.2
1.0,0.07,0.2
1.0,0.08,0.2
1.0,0.09,0.2
1.0,0.1,0.2
1.0,0.01,0.25
1.0,0.02,0.25
1.0,0.03,0.25
1.0,0.04,0.25
1.0,0.05,0.25
1.0,0.06,0.25
1.0,0.07,0.25
1.0,0.08,0.25
1.0,0.09,0.25
1.0,0.1,0.25
1.0,0.01,0.3
1.0,0.02,0.3
1.0,0.03,0.3
1.0,0.04,0.3
1.0,0.05,0.3
1.0,0.06,0.3
1.0,0.07,0.3
1.0,0.08,0.3
1.0,0.09,0.3
1.0,0.1,0.3
1.0,0.01,0.35
1.0,0.02,0.35
1.0,0.03,0.35
0.9,0.04,0.35
0.9,0.05,0.35
0.9,0.06,0.35
0.9,0.07,0.35
0.9,0.08,0.35
0.9,0.09,0.35
0.9,0.1,0.35
1.0,0.01,0.4
1.0,0.02,0.4
0.9,0.03,0.4
0.9,0.04,0.4
0.8,0.05,0.4
0.8,0.06,0.4
0.8,0.07,0.4
0.8,0.08,0.4
0.8,0.09,0.4
0.8,0.1,0.4
1.0,0.01,0.45
1.0,0.02,0.45
0.8,0.03,0.45
0.8,0.04,0.45
0.8,0.05,0.45
0.8,0.06,0.45
0.8,0.07,0.45
0.7,0.08,0.45
0.7,0.09,0.45
0.7,0.1,0.45
1.0,0.01,0.5
1.0,0.02,0.5
0.8,0.03,0.5
0.7,0.04,0.5
0.7,0.05,0.5
0.7,0.06,0.5
0.7,0.07,0.5
0.7,0.08,0.5
0.7,0.09,0.5
0.7,0.1,0.5
1.0,0.01,0.55
1.0,0.02,0.55
0.8,0.03,0.55
0.6,0.04,0.55
0.6,0.05,0.55
0.6,0.06,0.55
0.6,0.07,0.55
0.6,0.08,0.55
0.6,0.09,0.55
0.6,0.1,0.55
1.0,0.01,0.6
1.0,0.02,0.6
0.8,0.03,0.6
0.6,0.04,0.6
0.5,0.05,0.6
0.5,0.06,0.6
0.5,0.07,0.6
0.5,0.08,0.6
0.5,0.09,0.6
0.5,0.1,0.6
1.0,0.01,0.65
0.9,0.02,0.65
0.7,0.03,0.65
0.6,0.04,0.65
0.5,0.05,0.65
0.5,0.06,0.65
0.5,0.07,0.65
0.5,0.08,0.65
0.5,0.09,0.65
0.5,0.1,0.65
1.0,0.01,0.7
0.9,0.02,0.7
0.7,0.03,0.7
0.6,0.04,0.7
0.5,0.05,0.7
0.5,0.06,0.7
0.4,0.07,0.7
0.4,0.08,0.7
0.4,0.09,0.7
0.4,0.1,0.7
1.0,0.01,0.75
0.9,0.02,0.75
0.7,0.03,0.75
0.6,0.04,0.75
0.5,0.05,0.75
0.4,0.06,0.75
0.4,0.07,0.75
0.4,0.08,0.75
0.4,0.09,0.75
0.4,0.1,0.75
1.0,0.01,0.8
0.9,0.02,0.8
0.7,0.03,0.8
0.6,0.04,0.8
0.5,0.05,0.8
0.4,0.06,0.8
0.4,0.07,0.8
0.3,0.08,0.8
0.3,0.09,0.8
0.3,0.1,0.8
1.0,0.01,0.85
0.8,0.02,0.85
0.7,0.03,0.85
0.6,0.04,0.85
0.5,0.05,0.85
0.4,0.06,0.85
0.4,0.07,0.85
0.3,0.08,0.85
0.3,0.09,0.85
0.3,0.1,0.85
1.0,0.01,0.9
0.8,0.02,0.9
0.7,0.03,0.9
0.6,0.04,0.9
0.5,0.05,0.9
0.4,0.06,0.9
0.4,0.07,0.9
0.3,0.08,0.9
0.3,0.09,0.9
0.3,0.1,0.9
1.0,0.01,0.95
0.8,0.02,0.95
0.6,0.03,0.95
0.6,0.04,0.95
0.5,0.05,0.95
0.4,0.06,0.95
0.4,0.07,0.95
0.3,0.08,0.95
0.3,0.09,0.95
0.3,0.1,0.95
1.0,0.01,1.0
0.8,0.02,1.0
0.6,0.03,1.0
0.5,0.04,1.0
0.5,0.05,1.0
0.4,0.06,1.0
0.3,0.07,1.0
0.3,0.08,1.0
0.3,0.09,1.0
0.3,0.1,1.0
1.0,0.01,1.05
0.8,0.02,1.05
0.6,0.03,1.05
0.5,0.04,1.05
0.4,0.05,1.05
0.4,0.06,1.05
0.3,0.07,1.05
0.3,0.08,1.05
0.3,0.09,1.05
0.2,0.1,1.05
1.0,0.01,1.1
0.7,0.02,1.1
0.6,0.03,1.1
0.5,0.04,1.1
0.4,0.05,1.1
0.4,0.06,1.1
0.3,0.07,1.1
0.3,0.08,1.1
0.3,0.09,1.1
0.2,0.1,1.1
1.0,0.01,1.15
0.7,0.02,1.15
0.6,0.03,1.15
0.5,0.04,1.15
0.4,0.05,1.15
0.4,0.06,1.15
0.3,0.07,1.15
0.3,0.08,1.15
0.3,0.09,1.15
0.2,0.1,1.15
1.0,0.01,1.2
0.7,0.02,1.2
0.6,0.03,1.2
0.5,0.04,1.2
0.4,0.05,1.2
0.4,0.06,1.2
0.3,0.07,1.2
0.3,0.08,1.2
0.2,0.09,1.2
0.2,0.1,1.2
1.0,0.01,1.25
0.7,0.02,1.25
0.5,0.03,1.25
0.5,0.04,1.25
0.4,0.05,1.25
0.4,0.06,1.25
0.3,0.07,1.25
0.3,0.08,1.25
0.2,0.09,1.25
0.2,0.1,1.25
1.0,0.01,1.3
0.7,0.02,1.3
0.5,0.03,1.3
0.4,0.04,1.3
0.4,0.05,1.3
0.3,0.06,1.3
0.3,0.07,1.3
0.3,0.08,1.3
0.2,0.09,1.3
0.2,0.1,1.3
1.0,0.01,1.35
0.7,0.02,1.35
0.5,0.03,1.35
0.4,0.04,1.35
0.4,0.05,1.35
0.3,0.06,1.35
0.3,0.07,1.35
0.3,0.08,1.35
0.2,0.09,1.35
0.2,0.1,1.35
1.0,0.01,1.4
0.7,0.02,1.4
0.5,0.03,1.4
0.4,0.04,1.4
0.4,0.05,1.4
0.3,0.06,1.4
0.3,0.07,1.4
0.2,0.08,1.4
0.2,0.09,1.4
0.2,0.1,1.4
1.0,0.01,1.45
0.6,0.02,1.45
0.5,0.03,1.45
0.4,0.04,1.45
0.3,0.05,1.45
0.3,0.06,1.45
0.3,0.07,1.45
0.2,0.08,1.45
0.2,0.09,1.45
0.2,0.1,1.45
1.0,0.01,1.5
0.6,0.02,1.5
0.5,0.03,1.5
0.4,0.04,1.5
0.3,0.05,1.5
0.3,0.06,1.5
0.3,0.07,1.5
0.2,0.08,1.5
0.2,0.09,1.5
0.2,0.1,1.5
0.9,0.01,1.55
0.6,0.02,1.55
0.5,0.03,1.55
0.4,0.04,1.55
0.3,0.05,1.55
0.3,0.06,1.55
0.2,0.07,1.55
0.2,0.08,1.55
0.2,0.09,1.55
0.2,0.1,1.55
0.9,0.01,1.6
0.6,0.02,1.6
0.4,0.03,1.6
0.4,0.04,1.6
0.3,0.05,1.6
0.3,0.06,1.6
0.2,0.07,1.6
0.2,0.08,1.6
0.2,0.09,1.6
0.2,0.1,1.6
0.9,0.01,1.65
0.6,0.02,1.65
0.4,0.03,1.65
0.3,0.04,1.65
0.3,0.05,1.65
0.2,0.06,1.65
0.2,0.07,1.65
0.2,0.08,1.65
0.2,0.09,1.65
0.2,0.1,1.65
0.9,0.01,1.7
0.6,0.02,1.7
0.4,0.03,1.7
0.3,0.04,1.7
0.3,0.05,1.7
0.2,0.06,1.7
0.2,0.07,1.7
0.2,0.08,1.7
0.2,0.09,1.7
0.1,0.1,1.7
0.9,0.01,1.75
0.6,0.02,1.75
0.4,0.03,1.75
0.3,0.04,1.75
0.3,0.05,1.75
0.2,0.06,1.75
0.2,0.07,1.75
0.2,0.08,1.75
0.2,0.09,1.75
0.1,0.1,1.75
0.9,0.01,1.8
0.5,0.02,1.8
0.4,0.03,1.8
0.3,0.04,1.8
0.3,0.05,1.8
0.2,0.06,1.8
0.2,0.07,1.8
0.2,0.08,1.8
0.1,0.09,1.8
0.1,0.1,1.8
0.9,0.01,1.85
0.5,0.02,1.85
0.4,0.03,1.85
0.3,0.04,1.85
0.2,0.05,1.85
0.2,0.06,1.85
0.2,0.07,1.85
0.2,0.08,1.85
0.1,0.09,1.85
0.1,0.1,1.85
0.9,0.01,1.9
0.5,0.02,1.9
0.4,0.03,1.9
0.3,0.04,1.9
0.2,0.05,1.9
0.2,0.06,1.9
0.2,0.07,1.9
0.1,0.08,1.9
0.1,0.09,1.9
0.1,0.1,1.9
0.8,0.01,1.95
0.5,0.02,1.95
0.4,0.03,1.95
0.3,0.04,1.95
0.2,0.05,1.95
0.2,0.06,1.95
0.2,0.07,1.95
0.1,0.08,1.95
0.1,0.09,1.95
0.1,0.1,1.95
0.8,0.01,2.0
0.5,0.02,2.0
0.3,0.03,2.0
0.3,0.04,2.0
0.2,0.05,2.0
0.2,0.06,2.0
0.2,0.07,2.0
0.1,0.08,2.0
0.1,0.09,2.0
0.1,0.1,2.0
0.8,0.01,2.05
0.5,0.02,2.05
0.3,0.03,2.05
0.3,0.04,2.05
0.2,0.05,2.05
0.2,0.06,2.05
0.1,0.07,2.05
0.1,0.08,2.05
0.1,0.09,2.05
0.1,0.1,2.05
0.8,0.01,2.1
0.5,0.02,2.1
0.3,0.03,2.1
0.2,0.04,2.1
0.2,0.05,2.1
