adhesivity,particle_size,n,product
0.0,0.01,0.01,0.0
0.05,0.01,0.01,0.10950406640942979
0.1,0.01,0.01,0.20022583792666943
0.15,0.01,0.01,0.282154455962387
0.2,0.01,0.01,0.3561596120696332
0.25,0.01,0.01,0.42302127795321914
0.3,0.01,0.01,0.4834400044733404
0.35,0.01,0.01,0.5380455537279065
0.4,0.01,0.01,0.5874042963646944
0.45,0.01,0.01,0.6320259860738354
0.5,0.01,0.01,0.6723699852848981
0.55,0.01,0.01,0.7088498294093241
0.6,0.01,0.01,0.7418384475359101
0.65,0.01,0.01,0.7716722727564806
0.7,0.01,0.01,0.7986545565522608
0.75,0.01,0.01,0.8230590515737918
0.8,0.01,0.01,0.8451328095456081
0.85,0.01,0.01,0.8650988979811848
0.9,0.01,0.01,0.8831585609222817
0.95,0.01,0.01,0.8994937339486047
1.0,0.01,0.01,0.9142685544033597
0.0,0.02,0.01,0.0
0.05,0.02,0.01,0.10984273888005647
0.1,0.02,0.01,0.20073370263517373
0.15,0.02,0.01,0.28271282947714765
0.2,0.02,0.01,0.3566856729297861
0.25,0.02,0.01,0.4234570450760842
0.3,0.02,0.01,0.48374568567654175
0.35,0.02,0.01,0.5381938680145432
0.4,0.02,0.01,0.5873770511776076
0.45,0.02,0.01,0.6318111898886258
0.5,0.02,0.01,0.6719595843538909
0.55,0.02,0.01,0.7082386324353827
0.6,0.02,0.01,0.7410228464033913
0.65,0.02,0.01,0.7706493138015459
0.7,0.02,0.01,0.7974215184833338
0.75,0.02,0.01,0.8216130424937192
0.8,0.02,0.01,0.8434704017042081
0.85,0.02,0.01,0.8632155520668072
0.9,0.02,0.01,0.8810499988148961
0.95,0.02,0.01,0.8971539136681328
1.0,0.02,0.01,0.9116912839647727
0.0,0.03,0.01,0.0
0.05,0.03,0.01,0.11018325479820089
0.1,0.03,0.01,0.20125265751385807
0.15,0.03,0.01,0.28330148498291835
0.2,0.03,0.01,0.3572682130295473
0.25,0.03,0.01,0.42398226251746646
0.3,0.03,0.01,0.4841780080294192
0.35,0.03,0.01,0.5385085234973258
0.4,0.03,0.01,0.5875570268926139
0.45,0.03,0.01,0.6318443617098664
0.5,0.03,0.01,0.6718370428365498
0.55,0.03,0.01,0.7079532948441425
0.6,0.03,0.01,0.7405685423762014
0.65,0.03,0.01,0.7700203805154407
0.7,0.03,0.01,0.7966122369742078
0.75,0.03,0.01,0.8206175860714492
0.8,0.03,0.01,0.8422428777762414
0.85,0.03,0.01,0.8617264754092858
0.9,0.03,0.01,0.8793014091501297
0.95,0.03,0.01,0.8951536016451327
1.0,0.03,0.01,0.9094526599295616
0.0,0.04,0.01,0.0
0.05,0.04,0.01,0.11052518227424037
0.1,0.04,0.01,0.20178145941831455
0.15,0.04,0.01,0.2839144987683647
0.2,0.04,0.01,0.3578966614955544
0.25,0.04,0.01,0.42457841361020765
0.3,0.04,0.01,0.48470915660688785
0.35,0.04,0.01,0.5389523738023009
0.4,0.04,0.01,0.587897709730223
0.45,0.04,0.01,0.6320705093016841
0.5,0.04,0.01,0.6719398351902685
0.55,0.04,0.01,0.707925658832666
0.6,0.04,0.01,0.740404284040871
0.65,0.04,0.01,0.7696971582396205
0.7,0.04,0.01,0.7961086598414211
0.75,0.04,0.01,0.8199228088097023
0.8,0.04,0.01,0.8413951918426165
0.85,0.04,0.01,0.8607558912462883
0.9,0.04,0.01,0.8782119569938098
0.95,0.04,0.01,0.8939499189857227
1.0,0.04,0.01,0.9081378444542012
0.0,0.05,0.01,0.0
0.05,0.05,0.01,0.11086895161482627
0.1,0.05,0.01,0.20231941988436336
0.15,0.05,0.01,0.28454894524280083
0.2,0.05,0.01,0.35856284502638053
0.25,0.05,0.01,0.42523246160661554
0.3,0.05,0.01,0.4853209788541097
0.35,0.05,0.01,0.5395016908291047
0.4,0.05,0.01,0.5883697018035227
0.45,0.05,0.01,0.6324552233950761
0.5,0.05,0.01,0.6722453651533249
0.55,0.05,0.01,0.7081756870319729
0.6,0.05,0.01,0.7405539430534247
0.65,0.05,0.01,0.7697333316502568
0.7,0.05,0.01,0.7960306228962022
0.75,0.05,0.01,0.819731034132642
0.8,0.05,0.01,0.8410910969171483
0.85,0.05,0.01,0.860341539837253
0.9,0.05,0.01,0.8776901315043845
0.95,0.05,0.01,0.8933240158966727
1.0,0.05,0.01,0.9074116490449801
0.0,0.06,0.01,0.0
0.05,0.06,0.01,0.11121416901607112
0.1,0.06,0.01,0.20286388657236135
0.15,0.06,0.01,0.28520186612896825
0.2,0.06,0.01,0.3592611782438925
0.25,0.06,0.01,0.4259354531996806
0.3,0.06,0.01,0.4860010510784859
0.35,0.06,0.01,0.5401392724344213
0.4,0.06,0.01,0.5889531950357244
