Point,Count
"(0.35, 0.045)",5
"(0.7, 0.045)",7
"(0.6, 0.1)",7
"(0.9, 0.045)",8
"(0.65, 0.065)",9
"(0.85, 0.07)",7
"(0.4, 0.085)",7
"(0.95, 0.055)",9
"(0.6, 0.09)",8
"(0.65, 0.095)",10
"(0.75, 0.1)",7
"(0.45, 0.045)",6
"(0.6, 0.05)",7
"(0.75, 0.085)",7
"(0.5, 0.04)",7
"(0.65, 0.075)",7
"(0.85, 0.05)",7
"(0.55, 0.055)",10
"(0.9, 0.075)",8
"(0.35, 0.07)",8
"(0.5, 0.03)",8
"(0.5, 0.035)",9
"(0.75, 0.095)",8
"(0.45, 0.09)",6
"(0.35, 0.1)",10
"(0.7, 0.1)",9
"(0.75, 0.075)",10
"(0.65, 0.03)",6
"(0.6, 0.04)",8
"(0.95, 0.09)",4
"(0.95, 0.065)",8
"(0.7, 0.055)",6
"(0.4, 0.045)",8
"(0.6, 0.075)",6
"(0.35, 0.075)",7
"(0.9, 0.09)",5
"(0.8, 0.08)",9
"(0.75, 0.03)",8
"(0.8, 0.04)",6
"(0.55, 0.04)",7
"(0.9, 0.03)",5
"(0.85, 0.095)",4
"(0.85, 0.055)",5
"(0.65, 0.07)",5
"(0.95, 0.095)",7
"(0.7, 0.085)",7
"(0.35, 0.085)",9
"(0.65, 0.085)",9
"(0.5, 0.085)",6
"(0.7, 0.06)",9
"(0.85, 0.09)",8
"(0.35, 0.065)",9
"(0.95, 0.1)",5
"(0.4, 0.1)",8
"(0.65, 0.04)",9
"(0.4, 0.07)",8
"(0.65, 0.035)",7
"(0.7, 0.095)",8
"(0.5, 0.05)",7
"(0.4, 0.055)",4
"(0.7, 0.07)",8
"(0.6, 0.085)",9
"(0.8, 0.055)",7
"(0.75, 0.04)",7
"(0.7, 0.075)",7
"(0.4, 0.04)",8
"(0.85, 0.03)",7
"(0.45, 0.035)",6
"(0.55, 0.08)",6
"(0.9, 0.035)",7
"(0.6, 0.06)",9
"(0.45, 0.085)",7
"(0.8, 0.05)",7
"(0.8, 0.075)",9
"(0.5, 0.08)",8
"(0.95, 0.08)",10
"(0.9, 0.06)",5
"(0.9, 0.08)",8
"(0.45, 0.06)",7
"(0.95, 0.06)",5
"(0.4, 0.035)",9
"(0.65, 0.08)",8
"(0.35, 0.055)",5
"(0.95, 0.03)",8
"(0.6, 0.035)",9
"(0.4, 0.09)",7
"(0.85, 0.06)",5
"(0.5, 0.07)",8
"(0.6, 0.07)",5
"(0.95, 0.075)",8
"(0.5, 0.045)",9
"(0.9, 0.055)",8
"(0.65, 0.09)",7
"(0.5, 0.095)",9
"(0.85, 0.085)",6
"(0.75, 0.08)",7
"(0.8, 0.07)",8
"(0.75, 0.065)",7
"(0.9, 0.085)",6
"(0.55, 0.085)",7
"(0.4, 0.095)",9
"(0.85, 0.04)",6
"(0.4, 0.065)",7
"(0.5, 0.06)",8
"(0.95, 0.04)",6
"(0.45, 0.05)",7
"(0.95, 0.07)",8
"(0.95, 0.05)",8
"(0.65, 0.055)",7
"(0.85, 0.1)",9
"(0.55, 0.06)",10
"(0.45, 0.075)",8
"(0.65, 0.06)",8
"(0.6, 0.03)",8
"(0.55, 0.075)",9
"(0.6, 0.045)",10
"(0.45, 0.08)",7
"(0.85, 0.035)",6
"(0.45, 0.1)",6
"(0.75, 0.06)",4
"(0.9, 0.07)",6
"(0.5, 0.055)",10
"(0.7, 0.05)",6
"(0.35, 0.04)",6
"(0.4, 0.075)",7
"(0.75, 0.045)",8
"(0.8, 0.1)",7
"(0.45, 0.055)",7
"(0.55, 0.03)",8
"(0.55, 0.1)",8
"(0.35, 0.03)",7
"(0.95, 0.045)",8
"(0.4, 0.03)",10
"(0.55, 0.095)",9
"(0.5, 0.09)",8
"(0.9, 0.1)",9
"(0.6, 0.055)",8
"(0.35, 0.06)",6
"(0.35, 0.095)",8
"(0.75, 0.09)",9
"(0.3, 0.09)",10
"(1.0, 0.09)",10
"(0.3, 0.1)",10
"(1.0, 0.1)",10
"(0.3, 0.03)",10
"(1.0, 0.03)",10
"(0.3, 0.04)",10
"(1.0, 0.04)",10
"(0.3, 0.05)",10
"(1.0, 0.05)",10
"(0.3, 0.08)",10
"(1.0, 0.08)",10
"(0.3, 0.07)",10
"(1.0, 0.07)",10
"(0.3, 0.06)",10
"(1.0, 0.06)",10
"(0.3, 0.065)",10
"(1.0, 0.065)",10
"(0.3, 0.035)",10
"(1.0, 0.035)",10
"(0.3, 0.095)",10
"(1.0, 0.095)",10
"(0.3, 0.055)",10
"(1.0, 0.055)",10
"(0.3, 0.085)",10
"(1.0, 0.085)",10
"(0.3, 0.075)",10
"(1.0, 0.075)",10
"(0.3, 0.045)",10
"(1.0, 0.045)",10
"(0.75, 0.07)",9
"(0.6, 0.095)",7
"(0.55, 0.07)",6
"(0.8, 0.03)",8
"(0.55, 0.035)",6
"(0.35, 0.05)",8
"(0.9, 0.065)",5
"(0.65, 0.1)",6
"(0.65, 0.045)",7
"(0.8, 0.09)",8
"(0.9, 0.04)",7
"(0.7, 0.08)",5
"(0.45, 0.065)",6
"(0.85, 0.045)",7
"(0.85, 0.065)",9
"(0.7, 0.09)",6
"(0.55, 0.045)",7
"(0.9, 0.05)",6
"(0.45, 0.07)",8
"(0.45, 0.04)",5
"(0.4, 0.06)",7
"(0.8, 0.045)",6
"(0.65, 0.05)",8
"(0.95, 0.085)",7
"(0.8, 0.035)",8
"(0.8, 0.095)",7
"(0.35, 0.09)",7
"(0.4, 0.08)",6
