Sample Size,Mean R2,Std R2
30,0.05454464200099596,0.0
31,0.9223721503976778,0.002725011543169699
32,0.9256931775733733,0.0025166407744318053
33,0.9275462918906697,0.003946098401370452
34,0.9340230619785919,0.0031662628583205895
35,0.9348257563347975,0.004697413682370221
36,0.936277617338239,0.004517696727265655
37,0.9399848535161011,0.0036108822353322616
38,0.9411430442336174,0.0029326166613449175
39,0.9998422042468766,5.196130303206025e-05
40,0.9999675067178394,4.680401406558102e-05
41,0.9999605003350389,5.61969639233472e-05
42,0.9999961492852105,1.2030922772586752e-06
43,0.9999940174401816,3.3723942068726142e-06
44,0.9999963101323643,9.01481937843464e-07
45,0.9999965074463681,9.4334162415929e-07
46,0.9999950179281086,7.449154186935207e-06
47,0.9999959361116634,4.711469287872072e-06
48,0.9999924036983346,1.6391561662239236e-05
49,0.9999971443351734,2.4739220441018867e-06
50,0.9999979087399508,1.1428435342944035e-06
51,0.9999981082588801,7.116754708216876e-07
52,0.9999984808509487,7.623857589984004e-07
53,0.9999980916831243,9.977914992405747e-07
54,0.9999980972180266,6.600859417899462e-07
55,0.9999971217778608,2.218074169739491e-06
56,0.9999981358591249,1.3506599077014106e-06
57,0.9999983116355695,6.663111090025763e-07
58,0.9999980964371746,8.179976832607028e-07
59,0.9999982081618366,1.2282602656411094e-06
60,0.9999984667785675,6.645243546798022e-07
61,0.9999985413846166,5.120063644189636e-07
62,0.999998567562498,7.839198365056946e-07
63,0.9999985082929109,6.149455544523929e-07
64,0.9999986399805365,4.392547391020454e-07
65,0.9999990222612236,4.147503540141999e-07
66,0.9999989052628673,4.854550650040936e-07
67,0.9999988343725308,7.864487756455135e-07
68,0.9999988562057955,4.0390090855259574e-07
69,0.9999989533646076,3.537404090291566e-07
70,0.9999988096813597,3.4729132531766665e-07
71,0.9999989405083965,4.740001812890288e-07
72,0.9999987390331379,5.128879962179482e-07
73,0.9999990011982123,3.1465096835313533e-07
74,0.9999987841210931,5.067146239614365e-07
75,0.9999991777119659,1.7804618896297196e-07
76,0.9999990026874567,3.376639966479347e-07
77,0.9999989907122002,4.036493030801603e-07
78,0.9999988861745843,5.814749893320313e-07
79,0.9999991875181463,2.722200097174673e-07
80,0.9999988393162601,3.591559326685302e-07
81,0.999999074555517,2.0781815713334467e-07
82,0.9999991666368988,1.5301066631244517e-07
83,0.9999989607432257,3.516918879221988e-07
84,0.9999988829874601,4.6114060750458763e-07
85,0.99999902162788,2.9458281524823833e-07
86,0.9999990358042753,2.8336688677450195e-07
87,0.9999992195360287,2.797831340404066e-07
88,0.9999991550899079,2.7260208781360637e-07
89,0.9999991302590201,2.0512037269429334e-07
90,0.9999991195876499,4.189746753550371e-07
91,0.999999095463169,1.7334861611854868e-07
92,0.9999992169721855,2.2604655701078688e-07
93,0.9999991659187062,2.069853310611126e-07
94,0.9999992476663111,1.207839389212005e-07
95,0.9999990736571285,2.515398719142671e-07
96,0.9999992453596492,1.9042718860001835e-07
97,0.9999991489090526,1.733948376476128e-07
98,0.9999992114544138,1.2845241481562304e-07
99,0.9999991855215367,2.1326144916278113e-07
100,0.9999992008475174,2.88792323229819e-07
101,0.999999141300456,9.314780758445928e-08
102,0.9999991949789175,1.8576108162000876e-07
103,0.9999992220081024,1.7361699918859428e-07
104,0.9999992290543096,1.7470128233244771e-07
105,0.9999992194118063,1.7788431241358382e-07
106,0.9999991995294366,2.0471815197127414e-07
107,0.9999992205522308,1.8986919681291122e-07
108,0.99999929118959,1.304818195728487e-07
109,0.999999222236904,1.1940083557851565e-07
110,0.9999991746482202,1.543460019491491e-07
111,0.9999991785076074,1.6664079798289163e-07
112,0.9999991813621605,2.248650816366768e-07
113,0.9999991488217171,1.613422374321726e-07
114,0.9999992051375847,1.8789082400871144e-07
115,0.9999992864294829,1.6682568801817407e-07
116,0.999999200080207,1.0305476509814595e-07
117,0.9999992013696997,2.0813225129560837e-07
118,0.9999991238661607,1.466373034940247e-07
119,0.9999992173917519,1.790390355840897e-07
120,0.9999992977517547,1.547790985783247e-07
121,0.9999992907681117,1.5801294691430927e-07
122,0.9999992833565926,1.9313255857248956e-07
123,0.9999993048147704,9.901860700803691e-08
124,0.9999993534694045,1.02374416919925e-07
125,0.9999992717566955,1.538288684165798e-07
126,0.9999993709603423,5.326284328048833e-08
127,0.9999993009686972,1.6432475190818002e-07
128,0.9999993370805808,5.703412666259448e-08
129,0.9999992973428699,1.405073983576725e-07
130,0.9999993455802334,6.353142123453827e-08
131,0.9999993157505639,1.9389379835650596e-07
132,0.9999993809081978,9.594649452337387e-08
133,0.999999417821291,6.899258902921023e-08
134,0.9999994030484076,4.8910918465348077e-08
135,0.9999993696282072,1.3752008885482502e-07
136,0.9999993315799252,1.1833953699083275e-07
137,0.9999993410332412,1.3891044447850465e-07
138,0.9999993665059461,9.656052567092094e-08
139,0.9999993114595224,2.0111230447017867e-07
140,0.9999993848813927,1.0435890399761332e-07
141,0.9999993877317573,7.425146028757575e-08
142,0.9999993820116817,7.861951373710563e-08
143,0.9999994212534482,7.702852268836881e-08
144,0.9999993959070983,7.656999257610119e-08
145,0.999999325527084,1.3784818728795864e-07
146,0.9999993638494532,9.986948023942142e-08
147,0.9999994006329963,7.553463048939391e-08
148,0.9999993038237935,1.3571892856236455e-07
149,0.9999994003179037,1.2872805625305528e-07
150,0.9999993709838378,7.299711065477982e-08
151,0.9999993062081659,8.06611656822776e-08
152,0.9999993221252993,9.485840135887694e-08
153,0.9999993600463807,9.704132200624061e-08
154,0.999999364865956,8.398988330388359e-08
155,0.9999993975197079,6.24685380777978e-08
156,0.9999993763378395,9.517521636484959e-08
157,0.999999406853042,9.709581475498274e-08
158,0.9999994147662121,7.654218700264976e-08
159,0.999999376610362,7.036035496783307e-08
160,0.9999994310763161,6.359100624195221e-08
161,0.9999993924997609,7.12969962677312e-08
162,0.9999993934837672,6.601664186594818e-08
163,0.9999994053770603,4.005031206938166e-08
164,0.9999993971498131,4.3993311656117967e-08
165,0.999999363198903,7.135324238335582e-08
166,0.9999994212538267,5.098335226074812e-08
167,0.9999994279241277,5.8149032624918896e-08
168,0.9999993956395722,5.228225205367921e-08
169,0.9999994077421299,6.194327693335394e-08
170,0.9999994301347334,5.533588200409531e-08
171,0.9999994190744148,7.336658521787808e-08
172,0.9999994204734859,5.1966407653442744e-08
173,0.9999994175372994,8.12517312228276e-08
174,0.9999994147410997,6.785472939870245e-08
175,0.9999993929133544,5.748091085717293e-08
176,0.9999994327244156,5.510667201801201e-08
177,0.9999994467810346,5.958995327351086e-08
178,0.9999994686990659,4.124804020583965e-08
179,0.9999994290147022,6.516552545595615e-08
180,0.9999994595482947,3.25416273572762e-08
