Point,Count
"(0.35, 0.045)",1
"(0.7, 0.045)",1
"(0.6, 0.1)",1
"(0.9, 0.045)",2
"(0.65, 0.065)",4
"(0.85, 0.07)",4
"(0.4, 0.085)",1
"(0.95, 0.055)",1
"(0.6, 0.09)",2
"(0.65, 0.095)",3
"(0.75, 0.1)",3
"(0.45, 0.045)",3
"(0.6, 0.05)",4
"(0.75, 0.085)",2
"(0.5, 0.04)",1
"(0.65, 0.075)",1
"(0.85, 0.05)",2
"(0.55, 0.055)",2
"(0.9, 0.075)",2
"(0.35, 0.07)",3
"(0.5, 0.03)",3
"(0.5, 0.035)",4
"(0.75, 0.095)",3
"(0.45, 0.09)",3
"(0.35, 0.1)",2
"(0.7, 0.1)",4
"(0.75, 0.075)",2
"(0.65, 0.03)",2
"(0.6, 0.04)",1
"(0.95, 0.09)",1
"(0.95, 0.065)",2
"(0.7, 0.055)",3
"(0.4, 0.045)",2
"(0.3, 0.09)",10
"(1.0, 0.09)",10
"(0.3, 0.1)",10
"(1.0, 0.1)",10
"(0.3, 0.03)",10
"(1.0, 0.03)",10
"(0.3, 0.04)",10
"(1.0, 0.04)",10
"(0.3, 0.05)",10
"(1.0, 0.05)",10
"(0.3, 0.08)",10
"(1.0, 0.08)",10
"(0.3, 0.07)",10
"(1.0, 0.07)",10
"(0.3, 0.06)",10
"(1.0, 0.06)",10
"(0.3, 0.065)",10
"(1.0, 0.065)",10
"(0.3, 0.035)",10
"(1.0, 0.035)",10
"(0.3, 0.095)",10
"(1.0, 0.095)",10
"(0.3, 0.055)",10
"(1.0, 0.055)",10
"(0.3, 0.085)",10
"(1.0, 0.085)",10
"(0.3, 0.075)",10
"(1.0, 0.075)",10
"(0.3, 0.045)",10
"(1.0, 0.045)",10
"(0.75, 0.065)",4
"(0.75, 0.07)",3
"(0.6, 0.095)",3
"(0.85, 0.055)",3
"(0.55, 0.07)",4
"(0.8, 0.03)",4
"(0.5, 0.045)",3
"(0.5, 0.055)",3
"(0.55, 0.035)",3
"(0.35, 0.05)",1
"(0.5, 0.08)",3
"(0.9, 0.065)",3
"(0.85, 0.06)",3
"(0.75, 0.045)",3
"(0.65, 0.1)",1
"(0.65, 0.045)",1
"(0.8, 0.1)",3
"(0.8, 0.09)",2
"(0.45, 0.055)",2
"(0.35, 0.085)",2
"(0.9, 0.04)",2
"(0.95, 0.05)",2
"(0.9, 0.06)",1
"(0.95, 0.075)",4
"(0.7, 0.08)",2
"(0.45, 0.065)",3
"(0.6, 0.055)",3
"(0.85, 0.035)",2
"(0.8, 0.07)",1
"(0.55, 0.065)",2
"(0.9, 0.07)",3
"(0.8, 0.065)",4
"(0.85, 0.08)",2
"(0.75, 0.05)",1
"(0.8, 0.045)",2
"(0.7, 0.04)",2
"(0.95, 0.07)",4
"(0.4, 0.06)",2
"(0.8, 0.085)",1
"(0.9, 0.03)",2
"(0.85, 0.04)",2
"(0.75, 0.04)",1
"(0.45, 0.08)",1
"(0.85, 0.045)",2
"(0.45, 0.07)",2
"(0.95, 0.03)",2
"(0.5, 0.075)",2
"(0.8, 0.05)",2
"(0.5, 0.095)",2
"(0.4, 0.08)",5
"(0.6, 0.075)",2
"(0.75, 0.08)",3
"(0.45, 0.04)",1
"(0.95, 0.08)",4
"(0.65, 0.085)",2
"(0.7, 0.05)",1
"(0.6, 0.085)",2
"(0.85, 0.1)",1
"(0.9, 0.08)",3
"(0.5, 0.1)",3
"(0.7, 0.095)",2
"(0.9, 0.09)",2
"(0.55, 0.04)",1
"(0.65, 0.06)",1
"(0.55, 0.1)",1
"(0.55, 0.09)",3
"(0.65, 0.08)",2
"(0.4, 0.03)",3
"(0.35, 0.09)",2
"(0.35, 0.095)",2
"(0.95, 0.1)",1
"(0.4, 0.05)",1
"(0.65, 0.035)",1
"(0.5, 0.09)",3
"(0.9, 0.085)",2
"(0.4, 0.04)",1
"(0.65, 0.055)",2
"(0.5, 0.06)",3
"(0.85, 0.065)",3
"(0.35, 0.065)",2
"(0.9, 0.055)",2
"(0.8, 0.08)",1
"(0.6, 0.03)",1
"(0.65, 0.05)",3
"(0.4, 0.09)",2
"(0.8, 0.035)",1
"(0.95, 0.035)",3
"(0.55, 0.08)",1
"(0.7, 0.065)",1
"(0.45, 0.06)",3
"(0.4, 0.035)",2
"(0.75, 0.09)",1
"(0.6, 0.065)",1
"(0.5, 0.085)",2
"(0.55, 0.06)",2
"(0.35, 0.03)",1
"(0.95, 0.04)",2
"(0.8, 0.075)",3
"(0.45, 0.035)",1
"(0.45, 0.085)",2
"(0.6, 0.045)",2
"(0.5, 0.05)",1
"(0.95, 0.045)",1
"(0.6, 0.035)",3
"(0.35, 0.075)",1
"(0.6, 0.08)",1
"(0.9, 0.035)",2
"(0.4, 0.095)",3
"(0.55, 0.045)",1
"(0.45, 0.095)",3
"(0.4, 0.07)",1
"(0.65, 0.04)",1
"(0.35, 0.06)",1
"(0.4, 0.075)",1
"(0.65, 0.07)",1
"(0.7, 0.09)",1
"(0.7, 0.075)",1
"(0.85, 0.03)",1
"(0.45, 0.075)",1
"(0.85, 0.075)",1
"(0.9, 0.1)",1
"(0.45, 0.1)",1
"(0.55, 0.05)",1
"(0.9, 0.095)",1
"(0.6, 0.06)",1
"(0.65, 0.09)",1
"(0.5, 0.065)",1
"(0.8, 0.055)",1
"(0.35, 0.08)",1
"(0.85, 0.095)",1
"(0.8, 0.06)",1
"(0.4, 0.055)",1
